Time,Open,High,Low,Last,Change,%Chg,Volume
"2024-08-28 19:59",216.87,216.87,216.87,216.87,-0.1,-0.05%,500
"2024-08-28 19:56",216.99,216.99,216.97,216.97,0.03,+0.01%,300
"2024-08-28 19:54",216.94,216.94,216.94,216.94,0.01,0.00%,232
"2024-08-28 19:53",216.93,216.93,216.93,216.93,0.01,0.00%,637
"2024-08-28 19:52",216.92,216.92,216.92,216.92,0.069,+0.03%,230
"2024-08-28 19:51",216.94,216.94,216.851,216.851,-0.039,-0.02%,275
"2024-08-28 19:50",216.89,216.89,216.89,216.89,0.01,0.00%,200
"2024-08-28 19:49",216.86,216.88,216.84,216.88,0.01,0.00%,1068
"2024-08-28 19:48",216.87,216.87,216.87,216.87,0.01,0.00%,230
"2024-08-28 19:47",216.94,216.94,216.86,216.86,-0.08,-0.04%,830
"2024-08-28 19:46",216.94,216.94,216.94,216.94,0.09,+0.04%,156
"2024-08-28 19:45",216.87,216.87,216.85,216.85,0.06,+0.03%,1100
"2024-08-28 19:42",216.8393,216.8393,216.79,216.79,0.15,+0.07%,228
"2024-08-28 19:39",216.64,216.64,216.64,216.64,0,0.00%,131
"2024-08-28 19:38",216.64,216.64,216.64,216.64,0.03,+0.01%,657
"2024-08-28 19:37",216.61,216.61,216.61,216.61,0.02,+0.01%,100
"2024-08-28 19:32",216.56,216.59,216.56,216.59,0.07,+0.03%,638
"2024-08-28 19:31",216.53,216.53,216.52,216.52,0.03,+0.01%,1819
"2024-08-28 19:30",216.48,216.49,216.48,216.49,-0.05,-0.02%,410
"2024-08-28 19:28",216.54,216.54,216.54,216.54,-0.05,-0.02%,100
"2024-08-28 19:24",216.53,216.59,216.53,216.59,0,0.00%,1100
"2024-08-28 19:23",216.59,216.59,216.59,216.59,-0.05,-0.02%,123
"2024-08-28 19:20",216.57,216.64,216.57,216.64,0.08,+0.04%,500
"2024-08-28 19:19",216.56,216.56,216.56,216.56,-0.04,-0.02%,129
"2024-08-28 19:17",216.6,216.6,216.6,216.6,-0.03,-0.01%,209
"2024-08-28 19:16",216.63,216.63,216.63,216.63,0.03,+0.01%,150
"2024-08-28 19:14",216.6,216.6,216.6,216.6,-0.09,-0.04%,100
"2024-08-28 19:12",216.69,216.69,216.69,216.69,0.01,0.00%,200
"2024-08-28 19:11",216.66,216.68,216.66,216.68,0.049,+0.02%,999
"2024-08-28 19:09",216.6301,216.631,216.6301,216.631,0.031,+0.01%,309
"2024-08-28 19:08",216.6,216.6,216.6,216.6,-0.0499,-0.02%,109
"2024-08-28 19:07",216.6499,216.6499,216.6499,216.6499,0.0199,+0.01%,173
"2024-08-28 19:06",216.63,216.63,216.63,216.63,0.03,+0.01%,486
"2024-08-28 19:04",216.6,216.6,216.6,216.6,0.06,+0.03%,190
"2024-08-28 19:03",216.55,216.55,216.54,216.54,-0.1,-0.05%,700
"2024-08-28 19:01",216.63,216.64,216.63,216.64,-0.03,-0.01%,600
"2024-08-28 19:00",216.55,216.67,216.55,216.67,0.07,+0.03%,400
"2024-08-28 18:59",216.57,216.6,216.57,216.6,0.02,+0.01%,800
"2024-08-28 18:58",216.62,216.62,216.58,216.58,-0.09,-0.04%,642
"2024-08-28 18:57",216.67,216.67,216.67,216.67,0.05,+0.02%,200
"2024-08-28 18:56",216.67,216.67,216.62,216.62,0.16,+0.07%,360
"2024-08-28 18:53",216.59,216.59,216.46,216.46,-0.06,-0.03%,699
"2024-08-28 18:51",216.6,216.6,216.52,216.52,-0.04,-0.02%,1030
"2024-08-28 18:50",216.56,216.56,216.56,216.56,0.16,+0.07%,500
"2024-08-28 18:49",216.4,216.4,216.4,216.4,-0.11,-0.05%,100
"2024-08-28 18:48",216.51,216.51,216.51,216.51,0.11,+0.05%,100
"2024-08-28 18:46",216.4,216.4,216.4,216.4,-0.06,-0.03%,146
"2024-08-28 18:45",216.49,216.51,216.46,216.46,-0.06,-0.03%,1800
"2024-08-28 18:44",216.52,216.52,216.52,216.52,-0.02,-0.01%,125
"2024-08-28 18:43",216.53,216.62,216.4995,216.54,0.04,+0.02%,975
"2024-08-28 18:42",216.5,216.5,216.5,216.5,0.02,+0.01%,100
"2024-08-28 18:41",216.51,216.56,216.48,216.48,-0.03,-0.01%,1750
"2024-08-28 18:40",216.81,216.81,216.51,216.51,-0.32,-0.15%,5997
"2024-08-28 18:39",216.8,216.83,216.8,216.83,0.024,+0.01%,633
"2024-08-28 18:37",216.8,216.806,216.8,216.806,-0.064,-0.03%,783
"2024-08-28 18:34",216.93,216.93,216.87,216.87,-0.06,-0.03%,468
"2024-08-28 18:33",216.92,216.93,216.92,216.93,-0.09,-0.04%,700
"2024-08-28 18:31",216.93,217.02,216.93,217.02,0.17,+0.08%,200
"2024-08-28 18:29",216.85,216.85,216.85,216.85,-0.02,-0.01%,500
"2024-08-28 18:27",216.87,216.87,216.87,216.87,-0.04,-0.02%,476
"2024-08-28 18:24",216.92,216.92,216.91,216.91,-0.05,-0.02%,327
"2024-08-28 18:23",216.96,217.01,216.96,216.96,0,0.00%,850
"2024-08-28 18:22",216.96,216.96,216.96,216.96,-0.06,-0.03%,367
"2024-08-28 18:21",216.926,217.02,216.926,217.02,0,0.00%,722
"2024-08-28 18:20",217.02,217.02,217.02,217.02,0,0.00%,499
"2024-08-28 18:19",217.02,217.02,217.02,217.02,-0.08,-0.04%,116
"2024-08-28 18:18",217.1,217.1,217.1,217.1,0.04,+0.02%,100
"2024-08-28 18:17",217.06,217.06,217.06,217.06,0.01,0.00%,119
"2024-08-28 18:15",217.05,217.05,217.05,217.05,0.14,+0.06%,1000
"2024-08-28 18:14",216.95,216.95,216.91,216.91,0,0.00%,229
"2024-08-28 18:13",216.98,216.98,216.91,216.91,-0.1,-0.05%,271
"2024-08-28 18:12",217.01,217.01,217.01,217.01,0.26,+0.12%,500
"2024-08-28 18:11",216.85,216.85,216.75,216.75,-0.16,-0.07%,1290
"2024-08-28 18:10",216.91,216.91,216.87,216.91,-0.03,-0.01%,6200
"2024-08-28 18:09",217.01,217.01,216.94,216.94,-0.24,-0.11%,3953
"2024-08-28 18:08",217.25,217.25,217.14,217.18,-0.14,-0.06%,6119
"2024-08-28 18:07",217.32,217.32,217.32,217.32,0.02,+0.01%,1500
"2024-08-28 18:06",217.3,217.3,217.3,217.3,-0.1,-0.05%,1100
"2024-08-28 18:05",217.41,217.43,217.39,217.4,-0.05,-0.02%,3200
"2024-08-28 18:04",217.4,217.46,217.37,217.45,-0.07,-0.03%,3678
"2024-08-28 18:03",217.5904,217.5904,217.48,217.52,-0.13,-0.06%,2142
"2024-08-28 18:02",217.35,217.67,217.35,217.65,0.25,+0.11%,4234
"2024-08-28 18:01",217.2,217.41,217.15,217.4,0.16,+0.07%,7970
"2024-08-28 18:00",216.45,217.26,216.45,217.24,0.93,+0.43%,44471
"2024-08-28 17:59",216.46,216.46,216.31,216.31,-0.15,-0.07%,700
"2024-08-28 17:58",216.49,216.49,216.416,216.46,0.0593,+0.03%,1190
"2024-08-28 17:57",216.51,216.51,216.37,216.4007,-0.0993,-0.05%,7404
"2024-08-28 17:55",216.7742,216.7742,216.5,216.5,-0.13,-0.06%,5211
"2024-08-28 17:53",216.67,216.67,216.63,216.63,0.01,0.00%,400
"2024-08-28 17:52",216.61,216.62,216.61,216.62,0.1,+0.05%,530
"2024-08-28 17:51",216.71,216.71,216.52,216.52,-0.294,-0.14%,4737
"2024-08-28 17:50",216.814,216.814,216.814,216.814,0.114,+0.05%,100
"2024-08-28 17:49",216.9,216.9,216.7,216.7,-0.24,-0.11%,847
"2024-08-28 17:48",216.98,216.98,216.94,216.94,-0.04,-0.02%,289
"2024-08-28 17:47",216.98,216.98,216.98,216.98,0,0.00%,500
"2024-08-28 17:46",216.98,216.98,216.98,216.98,0,0.00%,144
"2024-08-28 17:44",216.98,216.98,216.98,216.98,0,0.00%,2404
"2024-08-28 17:43",217.05,217.05,216.98,216.98,-0.08,-0.04%,3086
"2024-08-28 17:42",217.06,217.06,217.06,217.06,-0.01,0.00%,105
"2024-08-28 17:38",217.07,217.07,217.07,217.07,0,0.00%,104
"2024-08-28 17:37",217.07,217.07,217.07,217.07,0.01,0.00%,119
"2024-08-28 17:35",217.07,217.15,217.06,217.06,-0.01,0.00%,824
"2024-08-28 17:34",217.15,217.15,217.07,217.07,-0.08,-0.04%,750
"2024-08-28 17:32",217.16,217.16,217.15,217.15,0.1,+0.05%,400
"2024-08-28 17:31",217.06,217.06,217.05,217.05,-0.1,-0.05%,419
"2024-08-28 17:30",217.15,217.15,217.15,217.15,0.05,+0.02%,100
"2024-08-28 17:29",217.1,217.1,217.1,217.1,0,0.00%,301
