direction,combo_size,setup,win_rate,trades,avg_return_bps,confidence,timeframe
Bullish,3,StochRSI Overbought + ATR High (>1.5x) + Prev 2D,0.6140350877192983,57,17.687157175725194,Moderate,15m
Bullish,3,RSI 30-50 + RVOL 0.8-1.5 + ATR High (>1.5x),0.6132075471698113,318,6.417651507036231,Good,15m
Bullish,3,RVOL 0.8-1.5 + ATR High (>1.5x) + Prev 2D,0.6126984126984127,315,9.808241358624556,Good,15m
Bullish,3,RSI 30-50 + EMA9 > EMA20 + ATR High (>1.5x),0.6119402985074627,67,1.6672268725665433,Moderate,15m
Bullish,3,RSI > 70 + StochRSI Overbought + Strat 3,0.6114649681528662,314,7.865072038688758,Good,15m
Bullish,2,Below EMA20 + Below OB,0.6111111111111112,54,15.144417318099894,Moderate,5m
Bullish,3,RSI > 70 + StochRSI Overbought + Prev 3,0.6109324758842444,311,4.051497565269275,Good,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + Strat 2U,0.6104910714285714,1792,3.563796263240787,High,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + OBV Falling,0.6104746317512275,611,2.93189939412068,High,15m
Bullish,3,RVOL > 1.5 + StochRSI Oversold + Prev 2U,0.6103151862464183,349,14.431665099812408,Good,15m
Bullish,3,RSI > 70 + OBV Rising + ATR High (>1.5x),0.609375,128,7.406523620655673,Good,15m
Bullish,3,RSI > 70 + ATR High (>1.5x) + No OB Test,0.609271523178808,151,8.650664300261308,Good,15m
Bullish,3,RSI > 70 + ATR High (>1.5x) + Within OB,0.609271523178808,151,8.650664300261308,Good,15m
Bullish,3,RSI > 70 + Above EMA20 + ATR High (>1.5x),0.609271523178808,151,8.650664300261308,Good,15m
Bullish,3,RSI > 70 + Above EMA9 + ATR High (>1.5x),0.609271523178808,151,8.650664300261308,Good,15m
Bullish,2,RSI > 70 + ATR High (>1.5x),0.609271523178808,151,8.650664300261308,Good,15m
Bullish,3,RSI > 70 + EMA9 > EMA20 + ATR High (>1.5x),0.609271523178808,151,8.650664300261308,Good,15m
Bullish,2,StochRSI Neutral + OB Test,0.6091954022988506,87,11.449877755173901,Moderate,5m
Bullish,3,RSI > 70 + RVOL 0.8-1.5 + ATR High (>1.5x),0.6078431372549019,51,1.2363928923526355,Moderate,15m
Bullish,3,RVOL 0.8-1.5 + StochRSI Neutral + ATR High (>1.5x),0.6076555023923444,418,7.835020588843416,Good,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + Prev 2U,0.607124148768989,1909,3.4234163873169408,High,15m
