,1,2U,2D,3
1,0.10215613136020012,0.3892658306307902,0.3834604358750152,0.12511760213399448
2U,0.17241246983992978,0.47301543140292895,0.2861117373639499,0.06846036139319138
2D,0.17258035777485423,0.2915310996609706,0.4672137349615205,0.06867480760265463
3,0.24050493425080197,0.3666283027646497,0.36365305972524914,0.029213703259299166
