,1,2U,2D,3
1,0.0745880312228968,0.40750377437281166,0.36898911053290934,0.14891908387138222
2U,0.1459629492060544,0.4866050701086452,0.28168817903240784,0.08574380165289257
2D,0.15285205551850406,0.3074154701833419,0.45848066541670335,0.08125180888145063
3,0.21325332637620661,0.37119749543438557,0.3798069397338899,0.03574223845551787
