,1,2U,2D,3
1,0.034129692832764506,0.46075085324232085,0.3378839590443686,0.16723549488054607
2U,0.09657320872274143,0.5342679127725857,0.2570093457943925,0.11214953271028037
2D,0.11375947995666305,0.39653304442036835,0.4182015167930661,0.07150595882990249
3,0.20224719101123595,0.36329588014981273,0.40074906367041196,0.033707865168539325
