,1,2U,2D,3
1,0.06596774193548387,0.42693548387096775,0.34258064516129033,0.16451612903225807
2U,0.1593545460436783,0.47274965977577604,0.2743179314367183,0.09357786274382736
2D,0.1780065652044166,0.3076693524321098,0.4306177260519248,0.0837063563115488
3,0.2542281879194631,0.36644295302013424,0.34201342281879193,0.03731543624161074
