,1,2U,2D,3
1,0.0772238514173998,0.42350928641251223,0.32038123167155425,0.17888563049853373
2U,0.19220779220779222,0.4445100354191263,0.2655253837072019,0.09775678866587957
2D,0.21054888507718697,0.3127501429388222,0.3873642081189251,0.08933676386506575
3,0.2918825561312608,0.3385146804835924,0.3130397236614853,0.05656303972366149
