,1,2U,2D,3
1,0.053003533568904596,0.4558303886925795,0.3003533568904594,0.19081272084805653
2U,0.08603066439522998,0.4948892674616695,0.33049403747870526,0.08858603066439523
2D,0.1125370187561698,0.3721618953603159,0.4185587364264561,0.09674234945705824
3,0.20152091254752852,0.33079847908745247,0.44106463878326996,0.026615969581749048
