,1,2U,2D,3
1,0.09053591790193842,0.3924743443557583,0.320866590649943,0.1961231470923603
2U,0.21224634261444078,0.456465313827277,0.24280320906087777,0.08848513449740443
2D,0.2333431603773585,0.30910966981132076,0.38325471698113206,0.07429245283018868
3,0.27330031517334535,0.35524538496172897,0.32327780279153534,0.04817649707339036
