model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
lasso,0.0344,0.0314,0.0192,0.5096,-0.3118,-2.222,0.4786
lgbm,0.0117,0.0319,0.0031,0.4995,-0.1028,-1.556,0.4952
ridge,0.0339,0.0314,0.0192,0.5097,-0.2892,-1.722,0.48
