feature,importance_gain,fold
strat_candle_id,14784028.0,5
stoch_rsi_k_lag5,14710200.0,5
rsi_9_lag10,14586998.0,5
price_vs_ema20_w20_z,14466590.0,5
macd_signal_lag10,14456930.0,5
macd_histogram_lag3,14248304.0,5
macd_histogram_lag1,14123391.0,5
macd_lag3,13223407.0,5
consecutive_up_lag10,12691730.0,5
bb_pct_w5_mean,12674632.0,5
bb_width_w20_mean,11887340.0,5
consecutive_up_w20_mean,11305612.0,5
bb_width_lag10,11090077.0,5
atr_14_lag5,10211680.0,5
bb_width,10074698.0,5
atr_14_w5_mean,10054380.0,5
macd_w20_z,10036580.0,5
macd_signal_w5_mean,10025060.0,5
atr_14_w20_mean,9954810.0,5
rsi_14_w60_z,9919809.0,5
consecutive_down_lag1,9852700.0,5
bb_width_lag1,9629141.0,5
macd_signal_lag1,9486983.0,5
rsi_9_w20_mean,9131578.0,5
consecutive_down_lag10,8896198.0,5
bb_pct_w60_z,8612155.0,5
rsi_9_w5_mean,8327049.0,5
stoch_rsi_d_lag1,7822902.0,5
stoch_rsi_k_w60_z,7678437.0,5
rsi_14,7267997.0,5
atr_14_lag10,6849937.0,5
macd_signal_lag3,6666063.0,5
bb_width_w5_mean,6093567.0,5
obv_lag5,5696315.0,5
obv_lag1,5001432.0,5
rsi_9_w20_z,4880261.0,5
atr_14_lag3,4584149.0,5
macd_w5_mean,4526160.0,5
atr_14_lag1,2260330.0,5
obv_w20_mean,2002722.0,5
bb_width_lag5,1496730.0,5
rsi_14_lag1,1357478.0,5
macd_lag1,1189210.0,5
volume_ma_10,0.0,5
volume_ma_20,0.0,5
consecutive_up,0.0,5
high_low_spread_pct,0.0,5
intraday_return,0.0,5
volatility_5d,0.0,5
return,0.0,5
high_low_spread_pct_w20_mean,0.0,5
high_low_spread_pct_w20_z,0.0,5
high_low_spread_pct_lag1,0.0,5
high_low_spread_pct_lag10,0.0,5
high_low_spread_pct_lag5,0.0,5
high_low_spread_pct_lag3,0.0,5
return_lag10,0.0,5
return_lag1,0.0,5
return_lag3,0.0,5
return_lag5,0.0,5
gap_pct,0.0,5
return_w20_z,0.0,5
return_w20_mean,0.0,5
return_w5_z,0.0,5
return_w60_z,0.0,5
return_w60_mean,0.0,5
intraday_return_lag10,0.0,5
intraday_return_w5_mean,0.0,5
intraday_return_w5_z,0.0,5
intraday_return_w20_mean,0.0,5
intraday_return_w20_z,0.0,5
intraday_return_w60_mean,0.0,5
intraday_return_w60_z,0.0,5
return_w5_mean,0.0,5
price_vs_vwap,0.0,5
consecutive_down,0.0,5
strat_setup_int,0.0,5
volatility_5d_lag5,0.0,5
volatility_5d_lag3,0.0,5
volatility_5d_lag1,0.0,5
rvol_10_w60_z,0.0,5
rvol_10_w60_mean,0.0,5
rvol_10_w20_z,0.0,5
rvol_10_w20_mean,0.0,5
rvol_10_w5_z,0.0,5
rvol_10_w5_mean,0.0,5
rvol_10_lag10,0.0,5
rvol_10_lag5,0.0,5
rvol_10_lag3,0.0,5
price_vs_vwap_w60_z,0.0,5
price_vs_vwap_w60_mean,0.0,5
price_vs_vwap_w20_z,0.0,5
price_vs_vwap_w20_mean,0.0,5
price_vs_vwap_w5_z,0.0,5
price_vs_vwap_w5_mean,0.0,5
price_vs_vwap_lag10,0.0,5
price_vs_vwap_lag5,0.0,5
price_vs_vwap_lag3,0.0,5
price_vs_vwap_lag1,0.0,5
high_low_spread_pct_w60_z,0.0,5
high_low_spread_pct_w60_mean,0.0,5
high_low_spread_pct_w5_z,0.0,5
high_low_spread_pct_w5_mean,0.0,5
volatility_5d_w5_z,0.0,5
volatility_5d_w20_mean,0.0,5
intraday_return_lag5,0.0,5
intraday_return_lag3,0.0,5
volatility_5d_lag10,0.0,5
volatility_5d_w5_mean,0.0,5
atr_20_w20_z,0.0,5
atr_20_w20_mean,0.0,5
atr_20_w5_z,0.0,5
atr_20_w5_mean,0.0,5
atr_20_lag10,0.0,5
atr_20_lag5,0.0,5
atr_20_lag3,0.0,5
atr_20_lag1,0.0,5
intraday_return_lag1,0.0,5
volatility_5d_w60_z,0.0,5
volatility_5d_w60_mean,0.0,5
volatility_5d_w20_z,0.0,5
