label,trades,win_rate,avg_win,avg_loss,pf,expectancy,max_dd,sharpe,type
1m,13674,0.41209594851543074,0.002892252164548636,-0.00200075225273731,1.0200171052031635,2.3389897387114724e-05,-0.08616032025938675,0.20858453853063713,single
5m,13392,0.4749850657108722,0.0017891208222317937,-0.0016401726048152145,1.006477876162368,5.469505123980702e-06,-0.058361263223920656,0.13743806998710975,single
15m,11338,0.49082730640324573,0.0017490367093286599,-0.0016761929873003428,1.0295820681297658,2.4665799880054646e-05,-0.0516787663053294,0.4876253223898803,single
30m,9677,0.47545726981502534,0.002182937997918829,-0.0020440413607804957,0.9839100948681521,-1.697270097274564e-05,-0.07325202244353338,-0.05511957846669476,single
1h,6602,0.4887912753710997,0.0024776896730756065,-0.002492496822973779,0.9667960803898222,-4.159343889912369e-05,-0.1367889685394362,-0.2416828046711734,single
1m (baseline),13674,0.41209594851543074,0.002892252164548636,-0.00200075225273731,1.0200171052031635,2.3389897387114724e-05,-0.08616032025938675,0.20858453853063713,combo
1m+15m,10971,0.5765199161425576,0.002885680355708015,-0.0018717984000475708,2.1225537180329472,0.0008798547443291087,-0.006081257297238965,11.067730312136913,combo
1m+30m,10476,0.5776059564719358,0.0029528040357704997,-0.0019367311797881127,2.11014491190109,0.000897291762353347,-0.01448982239939432,10.867004851546978,combo
1m+1h,10126,0.5475014813351767,0.002964963113072786,-0.001985609696028949,1.8242490966757021,0.0007334642206494329,-0.019581368834551603,8.541359364715891,combo
5m+15m,7605,0.705982905982906,0.0018093394418575335,-0.0011154473270913465,4.0563212519743965,0.0009624560226256379,-0.005464704367854223,10.974508576047112,general_combo
5m+30m,7783,0.6406270075806244,0.0017917202311047843,-0.001263421908698822,2.612076020726434,0.0007083944450007381,-0.008941513571323726,8.667975247514338,general_combo
5m+1h,7843,0.5933953844192273,0.0017985508439793299,-0.0013693789695076919,1.96989768183217,0.000525471463151528,-0.010762141838573745,6.071735349400089,general_combo
15m+30m,3418,0.7305441778818023,0.0021740088140788285,-0.001275238585394476,4.793750562090856,0.001256901154161656,-0.013585230829354266,6.70141447095678,general_combo
15m+1h,4076,0.6415603532875368,0.0020098163505330676,-0.0014504255309082247,2.542832585550656,0.0007823389045877701,-0.011274643879159938,5.392487925218582,general_combo
30m+1h,2143,0.652356509566029,0.0026957940610413313,-0.0018798180833043238,2.753890584676384,0.001120024513621201,-0.01183472727994598,4.378755059311848,general_combo
