,0
2024-01-02,1.0005780260937693
2024-01-03,0.9994114665840996
2024-01-04,0.9984807347194258
2024-01-05,0.9975326022244831
2024-01-08,0.9968989596645818
2024-01-09,0.9964609387682801
2024-01-10,0.9965906982765554
2024-01-11,0.9973865314323913
2024-01-12,0.9981380388452518
2024-01-16,0.9962083761998974
2024-01-17,0.9959323012770299
2024-01-18,0.9960037996672003
2024-01-19,0.9960248506912937
2024-01-22,0.9964417201358357
2024-01-23,0.996592025361096
2024-01-24,0.9956074768607669
2024-01-25,0.9954121599495775
2024-01-26,0.9948282927193262
2024-01-29,0.9940891471410599
2024-01-30,0.9937625395006998
2024-01-31,0.9951756142532623
2024-02-01,0.9936615789007637
2024-02-02,0.993636064152089
2024-02-05,0.9918467723654014
2024-02-06,0.9928734170169351
2024-02-07,0.9917552801092592
2024-02-08,0.9918654822392855
2024-02-09,0.9923030987337487
2024-02-12,0.9919739424233825
2024-02-13,0.9921060141861991
2024-02-14,0.9916842784408181
2024-02-15,0.9914953406270276
2024-02-16,0.9887753716825193
2024-02-20,0.9909569989845529
2024-02-21,0.9904395005472337
2024-02-22,0.9908674724267792
2024-02-23,0.990754908261135
2024-02-26,0.9912618593617942
2024-02-27,0.9920365589982323
2024-02-28,0.9917617914362439
2024-02-29,0.992727079290355
2024-03-01,0.9925320667275349
2024-03-04,0.9924831656615928
2024-03-05,0.9936938731134034
2024-03-06,0.9932884872594677
2024-03-07,0.9927755138716231
2024-03-08,0.992024997814736
2024-03-11,0.991798572347811
2024-03-12,0.9910103282745484
2024-03-13,0.9916674799234784
2024-03-14,0.992802429881953
2024-03-15,0.9913748846424416
2024-03-18,0.9910449211270804
2024-03-19,0.9909141956026207
2024-03-20,0.9903955366331266
2024-03-21,0.9915468510207953
2024-03-22,0.9914678924110536
2024-03-25,0.9913059118148873
2024-03-26,0.9918741132637404
2024-03-27,0.9932236186187333
2024-03-28,0.9932188936672577
2024-04-01,0.9933320486117762
2024-04-02,0.9938549316147908
2024-04-03,0.9947109216286308
2024-04-04,0.9938654188214695
2024-04-05,0.9938871290458248
2024-04-08,0.993014663480968
2024-04-09,0.9924607607867293
2024-04-10,0.9926980084419107
2024-04-11,0.9926780331397621
2024-04-12,0.9918461923562617
2024-04-15,0.9937785736267751
2024-04-16,0.9932008465762183
2024-04-17,0.997320575523328
2024-04-18,0.997589421114083
2024-04-19,0.9991838563984924
2024-04-22,0.9995805320301568
2024-04-23,0.9988383735859427
2024-04-24,0.9989708832196541
2024-04-25,0.9989404127478289
2024-04-26,0.9990054029551152
2024-04-29,0.9995722541207483
2024-04-30,1.0000554408606415
2024-05-01,1.0001270096105994
2024-05-02,1.0001365727336409
2024-05-03,1.0007982450758217
2024-05-06,1.0007909249446407
2024-05-07,1.0003116982211058
2024-05-08,1.0007119841018084
2024-05-09,1.0005718718409984
2024-05-10,1.0025769492281273
2024-05-13,1.0024911348444796
2024-05-14,1.0019453096028281
2024-05-15,1.0018594792503304
2024-05-16,1.001817650540231
2024-05-17,1.0022908847484147
2024-05-20,1.0027994207534636
2024-05-21,1.003030922423185
2024-05-22,1.0037075034064618
2024-05-23,1.0022588487693522
2024-05-24,1.0018551245319867
2024-05-28,1.0009557665096884
2024-05-29,1.0012151469265649
2024-05-30,1.0006407437775644
2024-05-31,1.0008686385219259
2024-06-03,1.0044744079181553
2024-06-04,1.0053972780404978
2024-06-05,1.0050273763550548
2024-06-06,1.0058328366384615
2024-06-07,1.0055742287615854
2024-06-10,1.0053596801844007
2024-06-11,1.0034981725322778
2024-06-12,1.0044426008991636
2024-06-13,1.005175682057462
2024-06-14,1.0037066376301635
2024-06-17,1.0034648542164384
2024-06-18,1.0037940138424868
2024-06-20,1.004221517767481
2024-06-21,1.0027982441678933
2024-06-24,1.0036549251454305
2024-06-25,1.0031400896617075
2024-06-26,1.0037052205649988
2024-06-27,1.0034609370563112
2024-06-28,1.0047942594010884
