entry_time,exit_time,direction,entry_price,exit_price,exit_reason,base_score,strat_bonus,total_score,position_size,return_pct,mae,mfe,ftfc_score,orb_trend,conditions
2015-01-09 11:33:00,2015-01-09 11:47:00,PUT,169.7279,170.0025,stop_loss,4,1,5,0.5,-0.0016178836832364768,-0.0011765891170515106,0.0,-0.35,-1,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2015-01-12 09:30:00,2015-01-12 09:33:00,PUT,170.2022,169.8527,target,4,0,4,0.25,0.0020534399672860054,0.0,0.0012220758603590225,-0.35,0,"rsi_overbought_zone, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-12 09:34:00,2015-01-12 09:35:00,CALL,169.7862,169.4533,stop_loss,5,0,5,0.5,-0.0019607011641699684,0.0,0.0,-0.35,0,"consecutive_down, rsi_oversold_zone, below_vwap, near_below_emas, stoch_rsi_oversold"
2015-01-12 09:53:00,2015-01-12 09:56:00,PUT,168.6878,168.3632,rsi_extreme,3,1,4,0.25,0.001924264825316376,0.0,0.0012336398957126817,-0.35,-1,"consecutive_up, near_above_emas, stoch_rsi_overbought"
2015-01-12 10:11:00,2015-01-12 10:42:00,PUT,168.5213,168.7294,stop_loss,4,1,5,0.5,-0.0012348587389250008,-0.0008396564707251115,0.001481118410550991,-0.35,-1,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2015-01-12 10:43:00,2015-01-12 10:59:00,PUT,168.7793,169.004,stop_loss,4,1,5,0.5,-0.0013313243981932876,-0.0003945981527355191,0.0009859028921201242,-0.04999999999999999,-1,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2015-01-13 09:30:00,2015-01-13 09:31:00,PUT,169.9193,170.1773,stop_loss,3,0,3,0.25,-0.001518367836967371,0.0,0.0,0.050000000000000044,0,"rsi_overbought_zone, above_vwap, near_above_emas"
2015-01-13 09:32:00,2015-01-13 09:40:00,PUT,170.327,170.6183,stop_loss,4,0,4,0.25,-0.0017102397153710613,-0.0010749910466338046,0.0,0.050000000000000044,0,"consecutive_up, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-13 11:48:00,2015-01-13 12:02:00,PUT,170.4602,170.0275,target,4,0,4,0.25,0.0025384224587322013,0.0,0.001952948547520155,-0.050000000000000044,0,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2015-01-13 12:48:00,2015-01-13 13:22:00,PUT,169.5282,169.0456,target,4,1,5,0.5,0.0028467240258552313,-0.001177975109745795,0.00157083010378215,-0.55,-1,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2015-01-14 09:30:00,2015-01-14 09:32:00,CALL,166.1332,166.4993,target,3,0,3,0.25,0.0022036534539755883,0.0,0.0009263651094424322,0.050000000000000044,0,"rsi_oversold_zone, below_vwap, near_below_emas"
2015-01-14 09:33:00,2015-01-14 09:35:00,PUT,166.5659,166.7822,stop_loss,4,0,4,0.25,-0.001298585124566251,0.0,0.0002497509994541999,0.050000000000000044,0,"consecutive_up, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-14 09:36:00,2015-01-14 10:00:00,PUT,166.6075,166.8321,stop_loss,4,0,4,0.25,-0.0013480785678916583,-0.0006938463154419855,0.0013984964662453712,-0.15,0,"rsi_overbought_zone, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-14 10:01:00,2015-01-14 10:06:00,PUT,166.7547,166.9902,stop_loss,3,0,3,0.25,-0.0014122540474119972,-0.0011130121070050424,0.0011825753636929535,0.35,0,"rsi_overbought_zone, above_vwap, near_above_emas"
2015-01-14 10:43:00,2015-01-14 10:45:00,PUT,166.778,167.0318,stop_loss,4,0,4,0.25,-0.0015217834486563723,-0.0007237165573396933,0.0,0.15,0,"consecutive_up, rsi_overbought_zone, above_vwap, near_above_emas"
2015-01-15 09:30:00,2015-01-15 09:31:00,PUT,167.6559,167.9555,stop_loss,3,0,3,0.25,-0.001786993478905294,0.0,0.0,0.15,0,"rsi_overbought_zone, above_vwap, near_above_emas"
2015-01-15 09:32:00,2015-01-15 09:34:00,PUT,167.9555,167.3897,target,4,0,4,0.25,0.0033687494604225277,0.0,0.0006442182601939843,0.15,0,"rsi_overbought_zone, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-15 09:35:00,2015-01-15 09:38:00,CALL,167.2815,167.0069,stop_loss,4,0,4,0.25,-0.0016415443429189265,-0.0004973652197045403,0.000546982182727895,0.25,0,"consecutive_down, rsi_oversold_zone, below_vwap, near_below_emas"
2015-01-15 10:08:00,2015-01-15 10:12:00,PUT,166.6324,166.2913,target,4,1,5,0.5,0.0020470208674902546,0.0,0.001298066882550991,-0.55,-1,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2015-01-15 10:14:00,2015-01-15 10:15:00,PUT,166.5742,166.8321,stop_loss,3,1,4,0.25,-0.0015482589740788578,0.0,0.0,-0.35,-1,"rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2015-01-16 09:30:00,2015-01-16 09:33:00,PUT,165.4591,165.7171,stop_loss,3,0,3,0.25,-0.0015592977358149618,-0.0011066178892547827,0.0,-0.2,0,"rsi_overbought_zone, above_vwap, near_above_emas"
2015-01-16 09:34:00,2015-01-16 09:35:00,PUT,165.9418,166.208,stop_loss,4,0,4,0.25,-0.0016041768861130695,0.0,0.0,-0.2,0,"consecutive_up, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-16 09:36:00,2015-01-16 09:38:00,PUT,165.9917,166.2164,stop_loss,4,0,4,0.25,-0.001353682141938328,-0.000997640243457857,0.0,-0.1,0,"rsi_overbought_zone, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-16 09:39:00,2015-01-16 09:53:00,PUT,166.0666,165.7005,target,4,0,4,0.25,0.002204537215791669,-0.0010020076282648653,0.0015535935582470007,-0.1,0,"rsi_overbought_zone, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-16 09:54:00,2015-01-16 09:58:00,CALL,165.7005,165.507,stop_loss,3,0,3,0.25,-0.0011677695601401336,-0.0002009649940706093,0.00017561805788153734,0.1,0,"rsi_oversold_zone, near_below_emas, stoch_rsi_oversold"
2015-01-20 09:30:00,2015-01-20 09:32:00,CALL,168.3383,168.6046,target,3,1,4,0.25,0.0015819335231495215,0.0,0.0010870966381387522,-0.25,0,"rsi_oversold_zone, below_vwap, near_below_emas"
2015-01-20 09:33:00,2015-01-20 09:37:00,PUT,168.6129,168.1802,target,5,0,5,0.5,0.0025662330699488755,0.0,0.0019743447861936725,-0.25,0,"consecutive_up, rsi_overbought_zone, above_vwap, near_above_emas, stoch_rsi_overbought"
2015-01-20 10:07:00,2015-01-20 10:39:00,PUT,167.5062,167.1567,target,3,1,4,0.25,0.0020864899329099827,-0.0009438456606381755,0.0016894897024708067,-0.35,-1,"rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
