label,trades,win_rate,avg_win,avg_loss,pf,expectancy,max_dd,sharpe,type
1m,13675,0.4359049360146252,0.001526072237075338,-0.0012006211112399329,0.9874680202661387,-8.442353297105382e-06,-0.05094978700604185,-0.021081240688601323,single
5m,13487,0.4806109587009713,0.0010424048504814273,-0.0009846074082074407,0.995719660543379,-2.1536306476657543e-06,-0.06508492109512432,-0.12124306039924791,single
15m,11876,0.4904008083529808,0.0010826826804964742,-0.0010211025800149693,1.0373308638794814,1.9107466519228066e-05,-0.03890546808518179,0.6761745157349665,single
30m,10159,0.48075597991928337,0.001400959135666755,-0.001307993557884869,1.002324211484755,1.5617718274732127e-06,-0.08830003041381362,0.040193570623478,single
1h,6912,0.47844328703703703,0.001823388429473133,-0.001814953880756389,0.9329874932813136,-6.265990062295281e-05,-0.13897121837140358,-0.5473898151766642,single
1m (baseline),13675,0.4359049360146252,0.001526072237075338,-0.0012006211112399329,0.9874680202661387,-8.442353297105382e-06,-0.05094978700604185,-0.021081240688601323,combo
1m+15m,11414,0.5794638163658665,0.0016415033440187717,-0.0011169007727270424,2.038708455915989,0.0004846259184315418,-0.005249421393117762,10.052580144233534,combo
1m+30m,10678,0.5855029031653868,0.0016499075829883034,-0.001179392189141055,1.9868738893032345,0.0004798218572994894,-0.008545317682206777,9.732222363425903,combo
1m+1h,10063,0.5547053562555898,0.0016696077623574517,-0.0012294853314125968,1.7015049907826152,0.0003818337849583798,-0.009945204247718154,7.350414588398758,combo
5m+15m,8760,0.6732876712328767,0.0010962646553112092,-0.0007246234745104988,3.1947497561127722,0.000507065704648138,-0.004190296547396617,9.803630254410715,general_combo
5m+30m,8569,0.6234099661570779,0.0011050470571720365,-0.0008477755971801002,2.2070104067705225,0.00037675684097441983,-0.007691208299597144,7.193904919737583,general_combo
5m+1h,8226,0.5846097738876732,0.0011216252671453378,-0.0009267529947059685,1.737894527462384,0.00027840993562261624,-0.008022094721851367,5.134603196037573,general_combo
15m+30m,4765,0.6868835257082896,0.001250488168687143,-0.0008756882851579838,3.2166991053222076,0.0005919145220941174,-0.009123633298814094,6.17783809155339,general_combo
15m+1h,4968,0.625805152979066,0.0012556777636353142,-0.0010225249712870845,2.092002185974809,0.00041018399648616393,-0.014316586512798398,4.593883808134687,general_combo
30m+1h,3160,0.6246835443037975,0.0016875482255434037,-0.0011956773125453484,2.3894106868010967,0.0006129938135426592,-0.0069151842839501095,4.242787289197991,general_combo
