,0
2024-01-02,1.0003437904202495
2024-01-03,1.000616189773067
2024-01-04,0.9998101110600142
2024-01-05,0.9966591762438273
2024-01-08,0.9984546513859803
2024-01-09,0.9969594643165005
2024-01-10,0.9959198717027824
2024-01-11,0.9965870661967162
2024-01-12,1.000552036426672
2024-01-16,1.001097513471373
2024-01-17,1.0004379241084547
2024-01-18,1.0013121099411366
2024-01-19,1.0013165908168018
2024-01-22,0.9998015149493558
2024-01-23,1.0028086399467941
2024-01-24,1.0029033129058174
2024-01-25,1.0046015687625856
2024-01-26,1.006608752191045
2024-01-29,1.0045751677886705
2024-01-30,1.0075616241097969
2024-01-31,1.0102570175994716
2024-02-01,1.0132780633684166
2024-02-02,1.0151605332199916
2024-02-05,1.0126641792023898
2024-02-06,1.0110647665503545
2024-02-07,1.0099629317359018
2024-02-08,1.0066459898741664
2024-02-09,1.0061732744534666
2024-02-12,1.003255043652146
2024-02-13,1.0028952776652924
2024-02-14,1.0057860237018936
2024-02-15,1.0054781220172158
2024-02-16,1.00517603189992
2024-02-20,1.0047864645044988
2024-02-21,1.0069183687320828
2024-02-22,1.0078943896390324
2024-02-23,1.006583279805834
2024-02-26,1.006203473752006
2024-02-27,1.0059107638690425
2024-02-28,1.0056074163754734
2024-02-29,1.0092863937488494
2024-03-01,1.0107207783109842
2024-03-04,1.01177199878741
2024-03-05,1.0139767432905171
2024-03-06,1.0117397075932038
2024-03-07,1.0104273574170275
2024-03-08,1.0109782391644109
2024-03-11,1.0113108943645808
2024-03-12,1.012658614508442
2024-03-13,1.0124870512268027
2024-03-14,1.0093857495495102
2024-03-15,1.0081966484619138
2024-03-18,1.0081805894017979
2024-03-19,1.0064214266303697
2024-03-20,1.005143562649826
2024-03-21,1.0033825433076293
2024-03-22,1.0014004621617456
2024-03-25,1.001247443353072
2024-03-26,1.0033510265362302
2024-03-27,1.002514633095301
2024-03-28,1.0010003385128103
2024-04-01,0.9998215873984198
2024-04-02,1.0011466892190046
2024-04-03,0.997815638624222
2024-04-04,0.9987920090224807
2024-04-05,0.9987475978102518
2024-04-08,0.9984759780943181
2024-04-09,1.0016211361607736
2024-04-10,1.0015770098661454
2024-04-11,1.0012529443535096
2024-04-12,1.005619657544714
2024-04-15,1.007573533624888
2024-04-16,1.0086916216041717
2024-04-17,1.0099336758159323
2024-04-18,1.0111624501012255
2024-04-19,1.009776863484506
2024-04-22,1.0128032288242004
2024-04-23,1.0085834172728447
2024-04-24,1.0093332655298548
2024-04-25,1.0104917135863125
2024-04-26,1.0108238203970965
2024-04-29,1.0120674333679913
2024-04-30,1.0145400379600413
2024-05-01,1.0150424766855137
2024-05-02,1.0123786636126406
2024-05-03,1.0158138588195396
2024-05-06,1.0144468154903414
2024-05-07,1.0154923538342355
2024-05-08,1.0164068276763685
2024-05-09,1.0149108471046397
2024-05-10,1.017969873029904
2024-05-13,1.0181939477415682
2024-05-14,1.0209105908439844
2024-05-15,1.0198029708869372
2024-05-16,1.0213882066857216
2024-05-17,1.0227662629567658
2024-05-20,1.0215583396882342
2024-05-21,1.0207339617304134
2024-05-22,1.0207413335103306
2024-05-23,1.0181090484842557
2024-05-24,1.0190811997277143
2024-05-28,1.0196593203860558
2024-05-29,1.021076437615586
2024-05-30,1.0200635914250356
2024-05-31,1.0184356881645333
2024-06-03,1.0169310029265954
2024-06-04,1.0176957872738654
2024-06-05,1.0148309155160213
2024-06-06,1.0161596133481077
2024-06-07,1.0144139295564683
2024-06-10,1.0130232755871245
2024-06-11,1.0119949110545912
2024-06-12,1.0124292558399046
2024-06-13,1.0103949957051155
2024-06-14,1.0130593682915803
2024-06-17,1.013057727941372
2024-06-18,1.0125430938630435
2024-06-20,1.0122833203374508
2024-06-21,1.0101726946087766
2024-06-24,1.0089687097518278
2024-06-25,1.010661341764588
2024-06-26,1.011257663545732
2024-06-27,1.013225139476802
2024-06-28,1.016233208353521
