entry_time,exit_time,direction,entry_price,exit_price,exit_reason,base_score,strat_bonus,total_score,position_size,return_pct,mae,mfe,conditions
2024-01-09 10:16:00,2024-01-09 10:51:00,PUT,399.7034,399.9593,time_stop,3,0,3,0.25,-0.0006402247266347919,-0.0006402247266347919,0.0015153736495611822,"above_vwap, near_above_emas, stoch_rsi_overbought"
2024-01-09 10:52:00,2024-01-09 11:16:00,PUT,399.8306,400.6922,stop_loss,3,0,3,0.25,-0.002154912605488449,-0.0012877953813440278,0.0008423567380785324,"rsi_overbought_zone, above_vwap, near_above_emas"
2024-01-09 11:17:00,2024-01-09 11:52:00,PUT,400.5535,401.3261,time_stop,3,0,3,0.25,-0.0019288309801312716,-0.0015578443329044027,0.0,"above_vwap, near_above_emas, stoch_rsi_overbought"
2024-01-10 09:37:00,2024-01-10 10:05:00,PUT,402.8909,401.355,target,3,0,3,0.25,0.003812198289909178,0.0,0.0034659507077473618,"consecutive_up, above_vwap, near_above_emas"
2024-01-10 10:10:00,2024-01-10 10:32:00,PUT,401.9996,402.8811,stop_loss,4,0,4,0.25,-0.0021927882515306403,-0.0017985092522480452,0.0,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2024-01-10 10:33:00,2024-01-10 11:08:00,PUT,402.782,403.2772,time_stop,3,0,3,0.25,-0.0012294491809465447,-0.0017458575606656653,0.0004918293270303886,"above_vwap, near_above_emas, stoch_rsi_overbought"
2024-01-10 11:10:00,2024-01-10 11:45:00,PUT,403.1286,403.2022,time_stop,3,0,3,0.25,-0.00018257201300031552,-0.0002703851822966181,0.0013387787420688635,"rsi_overbought_zone, above_vwap, near_above_emas"
2024-01-10 11:46:00,2024-01-10 12:21:00,PUT,403.1603,403.4753,time_stop,3,0,3,0.25,-0.0007813269312479372,-0.0007322149527122728,0.0010576438205845194,"above_vwap, near_above_emas, stoch_rsi_overbought"
2024-01-11 09:30:00,2024-01-11 09:50:00,PUT,406.2881,404.644,target,4,0,4,0.25,0.004046635872426439,-0.001682057633487188,0.0031448127572527517,"consecutive_up, above_vwap, near_above_emas, stoch_rsi_overbought"
2024-01-11 09:51:00,2024-01-11 10:03:00,CALL,405.0649,404.3469,stop_loss,3,0,3,0.25,-0.0017725554596313275,-0.0012593043732004984,0.0004033921477767324,"below_vwap, near_below_emas, stoch_rsi_oversold"
2024-01-11 10:17:00,2024-01-11 10:21:00,PUT,402.7622,403.6734,stop_loss,4,0,4,0.25,-0.0022623771545592112,-0.0019549997492316583,0.0,"consecutive_up, rsi_overbought_zone, near_above_emas, stoch_rsi_overbought"
2024-01-11 10:30:00,2024-01-11 11:05:00,PUT,404.0686,402.6929,time_stop,3,0,3,0.25,0.0034046199085996653,-0.0005904937923907462,0.00367437608366494,"consecutive_up, near_above_emas, stoch_rsi_overbought"
