total_trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,max_drawdown_pct,sharpe_ratio,total_winners,total_losers,consecutive_periods,call_target,call_time_stop
620,0.43709677419354837,0.0026278426026926567,-0.0019053076201751718,1.077144729668493,8.226387278858936e-05,-0.01232326068917817,1.205476076142272,271,347,2,0.002,20
620,0.43709677419354837,0.002659791555618509,-0.0019097371058145393,1.0877117813106743,9.37495739596306e-05,-0.012106331772046943,1.252060708960297,271,347,2,0.002,25
620,0.43548387096774194,0.002672670099303605,-0.0019041300675705663,1.08901350187367,9.51349408022843e-05,-0.012106331772046801,1.2847951976117433,270,348,2,0.002,30
620,0.43870967741935485,0.002673839862556131,-0.001914049803735837,1.09818362810882,0.00010487614600430323,-0.01210633177204702,1.416072025102403,272,346,2,0.002,35
620,0.43870967741935485,0.002671556359183109,-0.001915867386015734,1.0962048047470863,0.00010286002280058331,-0.01210633177204725,1.3892355075722658,272,346,2,0.002,40
620,0.4306451612903226,0.0027284547820238523,-0.0019052516660350907,1.089352803855398,9.637756777750264e-05,-0.014563645865475773,1.409920419664562,267,351,2,0.0025,20
620,0.4338709677419355,0.002760828483272443,-0.001912055932960005,1.1129244599688433,0.0001215408732213635,-0.014921613035304116,1.6610214090133053,269,349,2,0.0025,25
620,0.4290322580645161,0.002781060952255625,-0.0019164328388686684,1.0966192784066626,0.00010512557099713721,-0.015029314134741838,1.4602516219968713,266,352,2,0.0025,30
620,0.4306451612903226,0.002794458126612697,-0.0019222525451522976,1.105837483313946,0.00011517689751150581,-0.014899165831354167,1.5730290873738497,267,351,2,0.0025,35
620,0.432258064516129,0.0027861356353930914,-0.001927535201602311,1.1067937209056995,0.00011620488665248337,-0.015086145341315601,1.621564640688742,268,350,2,0.0025,40
620,0.4290322580645161,0.0028032511772599017,-0.0019096051390539493,1.1093214524451684,0.00011852226484539316,-0.011219818302173876,1.4585984007534212,266,352,2,0.003,20
620,0.4290322580645161,0.0028176533885353587,-0.0019145151051458318,1.1153297603260905,0.00012500161200680384,-0.012838871201787047,1.4968155705604707,266,351,2,0.003,25
620,0.42258064516129035,0.0028369273468301336,-0.0019035410071644536,1.0999144686280693,0.00010889985052599043,-0.01384002773945556,1.280081199398482,262,355,2,0.003,30
620,0.4241935483870968,0.0028631434091857567,-0.0019266503363254272,1.1040600245168817,0.00011447177025266556,-0.01414651642360976,1.3516555771280891,263,354,2,0.003,35
620,0.4241935483870968,0.002865839967183366,-0.001933317403711338,1.1012888977677324,0.0001118089523474383,-0.01464369906782939,1.3528495311399007,263,354,2,0.003,40
620,0.4112903225806452,0.0028303263565779726,-0.001896894435841875,1.051053839204581,5.65442502461681e-05,-0.013562909097399987,0.5366839789672063,255,362,2,0.0035,20
