,0
2024-01-02,1.0016580509943056
2024-01-03,1.0019672848989207
2024-01-04,1.0012684084696948
2024-01-05,1.000287200575234
2024-01-08,0.9982270536691416
2024-01-09,0.9967212220619978
2024-01-10,0.9970840948530022
2024-01-11,0.9959081602867574
2024-01-12,0.995610447086993
2024-01-16,0.9951164258939663
2024-01-17,0.9933087612833278
2024-01-18,0.9942807887664469
2024-01-19,0.9943918350088816
2024-01-22,0.9967195310740566
2024-01-23,0.998783974549036
2024-01-24,0.998123575814949
2024-01-25,0.9987928351798168
2024-01-26,0.9992205215898772
2024-01-29,0.9987157838365046
2024-01-30,1.0001323002324247
2024-01-31,0.9985715178360907
2024-02-01,0.9973012749042517
2024-02-02,0.9950095707758131
2024-02-05,0.9941925588990759
2024-02-06,0.9940442828248315
2024-02-07,0.99281860199735
2024-02-08,0.9923466150205801
2024-02-09,0.9918204607582265
2024-02-12,0.9909410938305319
2024-02-13,0.990635928263953
2024-02-14,0.9915941029485825
2024-02-15,0.9927563287983214
2024-02-16,0.9904198745473534
2024-02-20,0.9902076966687683
2024-02-21,0.9913278068159748
2024-02-22,0.9905338490267306
2024-02-23,0.9918723213396778
2024-02-26,0.9924227580795231
2024-02-27,0.9945469053435972
2024-02-28,0.9946425346136352
2024-02-29,0.9960729093954426
2024-03-01,0.9930311454886579
2024-03-04,0.9923559756493439
2024-03-05,0.9908712433549537
2024-03-06,0.9895599579120752
2024-03-07,0.9906432356072888
2024-03-08,0.9911636644789462
2024-03-11,0.9940056594800422
2024-03-12,0.9948930876470649
2024-03-13,0.9928636414819408
2024-03-14,0.9911381677425899
2024-03-15,0.9890913573794985
2024-03-18,0.9889589815905874
2024-03-19,0.98855650607502
2024-03-20,0.9901866049397029
2024-03-21,0.9904678745563186
2024-03-22,0.9905958952932304
2024-03-25,0.9913472551368264
2024-03-26,0.9923556443961055
2024-03-27,0.9909848364406098
2024-03-28,0.9923162800245638
2024-04-01,0.9929927583006144
2024-04-02,0.9930040785890217
2024-04-03,0.9908424460714957
2024-04-04,0.9897530961336892
2024-04-05,0.9884941147284418
2024-04-08,0.9876992725468744
2024-04-09,0.9881816962174217
2024-04-10,0.9885302966266573
2024-04-11,0.9872885501555537
2024-04-12,0.9884693948468095
2024-04-15,0.9901527540971403
2024-04-16,0.9903483459040707
2024-04-17,0.9904536700691986
2024-04-18,0.9898159345858204
2024-04-19,0.9921637634697014
2024-04-22,0.9931269244078352
2024-04-23,0.9919397748686004
2024-04-24,0.9931859563958773
2024-04-25,0.9928374211553169
2024-04-26,0.9905651194996056
2024-04-29,0.991282582767682
2024-04-30,0.9946938208822431
2024-05-01,0.9958742943928943
2024-05-02,0.9938493404583768
2024-05-03,0.9936480689952645
2024-05-06,0.9937672985065014
2024-05-07,0.9932958130072529
2024-05-08,0.9919491714894677
2024-05-09,0.9932639974080347
2024-05-10,0.9945179647611261
2024-05-13,0.9955125792108788
2024-05-14,0.9955827561022067
2024-05-15,0.9944513871910291
2024-05-16,0.9946694897274453
2024-05-17,0.9953128839381664
2024-05-20,0.9953456758898312
2024-05-21,0.9959329549983381
2024-05-22,0.9959653822438155
2024-05-23,0.9951803964940564
2024-05-24,0.9923140195777033
2024-05-28,0.9935280967979172
2024-05-29,0.992278327009684
2024-05-30,0.9930435889757354
2024-05-31,0.9918378000764745
2024-06-03,0.9931805876942073
2024-06-04,0.9949540947145958
2024-06-05,0.9930466105278042
2024-06-06,0.9934420494721325
2024-06-07,0.9941281244021759
2024-06-10,0.99262222279721
2024-06-11,0.9934310609993023
2024-06-12,0.9923584833297378
2024-06-13,0.9928103777934306
2024-06-14,0.9923718569519362
2024-06-17,0.9918357522828822
2024-06-18,0.9919230115776165
2024-06-20,0.9921633096467566
2024-06-21,0.9910450120988663
2024-06-24,0.9911157954319464
2024-06-25,0.9907636188949561
2024-06-26,0.9903919913477901
2024-06-27,0.9911851866714179
2024-06-28,0.990938870828168
