label,trades,win_rate,avg_win,avg_loss,pf,expectancy,max_dd,sharpe,type
1m,13674,0.40054117302910636,0.002313108863490358,-0.001596244413036074,0.9744248139386658,-2.4317207755019237e-05,-0.10444275184409896,-0.29404899230883697,single
5m,13381,0.4690979747403034,0.0014793272048390384,-0.0013807853363705692,0.9633244171036788,-2.641996625276874e-05,-0.14590017581416176,-0.44679438860385917,single
15m,11461,0.4907076171363755,0.0014654830596929872,-0.001419917133986055,1.0121146065802564,8.607622746997118e-06,-0.0680827722675643,0.22443390903405908,single
30m,9828,0.48555148555148553,0.0018797782525366861,-0.0017285369435492404,1.042912849050363,3.7556165039076444e-05,-0.0471013277148091,0.3030362934722838,single
1h,6571,0.46903058895145333,0.0022296815456107635,-0.0022656028550644986,0.8786600956910287,-0.00014441980400399892,-0.2551017475182712,-1.014883685436631,single
1m (baseline),13674,0.40054117302910636,0.002313108863490358,-0.001596244413036074,0.9744248139386658,-2.4317207755019237e-05,-0.10444275184409896,-0.29404899230883697,combo
1m+15m,10830,0.5583564173591874,0.0024560949045716865,-0.0014884195656686477,2.10603064350543,0.0007202099709886365,-0.0045699703668892,10.198973596067097,combo
1m+30m,10299,0.5590834061559374,0.00249331817519786,-0.0015721032765250783,2.028442960377376,0.0007067595982011241,-0.009553436689014256,9.855625086218646,combo
1m+1h,9654,0.5250673296043091,0.002523614214970271,-0.001631465129275202,1.7202562315658996,0.0005547941160604861,-0.009025100797721192,7.237106324300729,combo
5m+15m,7223,0.6998477087082929,0.0015716119523389348,-0.0009401789442126289,4.050807992021998,0.0008283656571294161,-0.004830305243267048,10.207077947682835,general_combo
5m+30m,7415,0.63937963587323,0.0015636480683622694,-0.001111144045880399,2.574964177588095,0.0006115011826337703,-0.007025265883966775,8.154159053430085,general_combo
5m+1h,7291,0.5949801124674255,0.0015754075957312855,-0.001262531495341426,1.8880459900808888,0.0004408778429760593,-0.00995272706657299,5.5913469396277335,general_combo
15m+30m,3211,0.7368421052631579,0.0019463925923956953,-0.001078623387372385,5.187707909926369,0.0011577258878233392,-0.002347946674413853,7.573014334926078,general_combo
15m+1h,3749,0.6425713523606295,0.001815989401197581,-0.0013255771803623228,2.5154243187224767,0.0007030037895037626,-0.006143289895660478,5.5673455900727555,general_combo
30m+1h,2063,0.664081434803684,0.0025114930183231608,-0.0018431228607461176,2.7452970527725493,0.001060311143865909,-0.010792503532829109,4.1442758978518395,general_combo
