Strategy,Position_Size,Total_Return,Avg_Return_Per_Trade,Best_Trade,Worst_Trade,Volatility,Sharpe_Ratio
Fixed 5%,5,7312.835110000001,0.31178150117245795,28.425,-2.56909,0.7133064995451798,0.43709331314274696
Fixed 10%,10,14625.670220000002,0.6235630023449159,56.85,-5.13818,1.4266129990903595,0.43709331314274696
Fixed 20%,20,29251.340440000004,1.2471260046898318,113.7,-10.27636,2.853225998180719,0.43709331314274696
Fixed 15%,15,21938.50533,0.9353445035173736,85.27499999999999,-7.707269999999999,2.139919498635539,0.4370933131427469
