Day,Observations,Profitable_Rate,Avg_Profit,Avg_Loss,Max_Profit,Max_Loss,Median_Profit
Day 0,26571,71.94309585638477,6.756485085792007,2.8444378806170354,921.0000000000001,-89.58030000000001,2.1481
Day 1,26511,61.47636829995097,6.451994852129095,3.8976007931068244,921.0000000000001,-89.5733,1.2375
Day 2,26449,58.75836515558244,7.344265729361045,4.6851709479281265,855.5,-90.3332,1.1475000000000002
Day 3,26172,58.012379642365886,7.946215537113878,5.289321221221222,568.5,-90.5818,1.07855
Day 4,25437,55.55686598262374,8.37437432776677,5.8719298717381685,568.5,-90.693,0.8174000000000001
Day 5,18778,52.98753860901054,8.983275949748743,6.550581207521522,550.0,-57.696999999999996,0.48155000000000003
