Earnings_Window,Total_Trades,Hit_Rate,Win_Rate,Avg_Profit,Avg_Loss,Profit_Factor,Avg_Days_To_Hit
0-2 days,4190,100.0,84.1288782816229,10.619817390070923,2.9212212030075184,19.270371218216958,0.00883054892601432
3-5 days,3535,100.0,84.58274398868458,10.346914448160534,2.4301275229357797,23.359120127723884,0.006789250353606789
6-10 days,5604,100.0,79.7644539614561,8.231790402684563,3.1483105820105823,10.306499899921128,0.0046395431834403995
11-20 days,8212,100.0,79.10375060886507,7.389838238916256,2.4615049533799533,11.364830179388095,0.004870920603994155
21+ days,3467,100.0,81.07874242861264,8.008399822127357,2.206094969512195,15.555305655071596,0.0025959042399769255
