Indicator,Winning_Trades,Win_Min,Win_25th,Win_Median,Win_75th,Win_Max,All_Median,Sweet_Spot_Low,Sweet_Spot_High
RSI,20414,7.5,39.89,50.36,61.64,94.21,49.69,39.89,61.64
SMA20,20322,0.91,24.9525,69.25,159.6875,5445.58,64.58,24.9525,159.6875
SMA50,19826,0.9,24.72,68.525,158.06,5383.78,63.86,24.72,158.06
EMA9,20532,0.91,25.11,69.54,160.72,5471.8,64.98,25.11,160.72
EMA21,20300,0.91,24.92,69.23,159.64249999999998,5444.04,64.57,24.92,159.64249999999998
VWAP,21206,0.91,25.0275,69.9,161.29000000000002,5358.08,65.35,25.0275,161.29000000000002
RVOL,21191,0.0,1.0,1.0,3.5,20.0,1.0,1.0,3.5
ATR,20357,0.0031,0.0327,0.0736,0.1769,60.0201,0.068,0.0327,0.1769
PriceVsSMA20,20322,-7.1,-0.18,0.01,0.19,40.51,0.0,-0.18,0.19
PriceVsVWAP,21206,-35.01,-0.77,0.04,0.74,42.71,-0.02,-0.77,0.74
