Indicator,Valid_Count,Coverage_Pct,Profit_Correlation,Hit_Correlation,Q1_Win_Rate,Q4_Win_Rate,Q4_vs_Q1_Lift
RSI,25038,95.38649091393958,0.0728991742512668,0.0,77.70324229356332,86.88288864035788,9.179646346794556
PriceVsSMA20,24940,95.0131433578422,0.06868181211509722,0.0,78.74706342991387,85.36506915406883,6.618005724154969
RVOL,25865,98.53708712712866,-0.06232089754988333,0.0,0.0,0.0,0.0
SMA50,24409,92.9902091508248,-0.04900098444930985,0.0,77.56840897919056,85.93903638151426,8.370627402323692
EMA9,25158,95.84365118671188,-0.047846222612342434,0.0,78.00381436745073,86.43447837150127,8.430664004050541
SMA20,24940,95.0131433578422,-0.047688166410001925,0.0,77.87397787397788,86.22293504410585,8.348957170127974
EMA21,24918,94.92933064116728,-0.04763146284561945,0.0,77.84911717495987,86.20966447262803,8.360547297668163
VWAP,25883,98.6056611680445,-0.04726244590871739,0.0,78.0781708635872,86.72128613386923,8.643115270282024
PriceVsVWAP,25883,98.6056611680445,0.01864563725339502,0.0,80.17267961763798,88.38719653626102,8.214516918623033
ATR,24949,95.04743037830012,0.009585501771999013,0.0,75.38461538461539,88.19377606673083,12.809160682115447
