Entry_Timing,Total_Trades,Hit_Rate,Win_Rate,Avg_Profit,Avg_Loss,Profit_Factor,Avg_Days_To_Hit
Pre-Earnings,23340,100.0,80.80119965724079,8.467768291001644,2.629034835974113,13.555524974477123,0.005269922879177378
Post-Earnings,217,100.0,56.22119815668203,7.589009016393444,3.7253073684210527,2.6161291671587965,0.018433179723502304
