Strategy_Type,Total_Trades,Hit_Rate,Win_Rate,Avg_Profit,Avg_Loss,Profit_Factor
Bullish,24334,100.0,82.46075449987671,8.675835009468754,2.5773091611996253,15.826364506656414
Bearish,682,100.0,33.137829912023456,7.0572097345132745,3.347517324561404,1.044849616555972
