Strategy,Total_Trades,Hit_Count,Hit_Rate,Avg_Profit,Avg_Loss,Profit_Factor,Total_Profit,Total_Loss,Avg_Days_to_Hit
Bull Spreads,3852,3852,100.0,7.580290252416756,1.4158390625,155.76563422528824,28229.0009,181.2274,0.007009345794392523
Long Calls,2279,2278,99.95612110574812,8.215520765027321,1.4332096385542168,151.66299249136657,18041.2836,118.9564,0.0026338893766461808
Covered Calls,4671,4669,99.95718261614215,4.727975633528265,2.409139648622982,2.3902441125154104,12127.2575,5073.6481,0.00556864424930392
Bear Spreads,312,312,100.0,6.422342253521127,2.9776141078838174,0.6354279861483686,455.9863,717.605,0.00641025641025641
