Days_Before_Earnings,Total_Trades,Win_Rate,Avg_Profit,Profit_Factor,Hit_Rate
0,1492,85.25469168900804,12.5854945754717,21.76354366453301,100.0
1,1476,86.11111111111111,11.074751140833987,26.092901311577148,100.0
2,1365,86.95970695970696,11.211572030328561,30.863539465408515,100.0
3,1309,86.40183346065699,11.31602661361627,30.296284626934675,100.0
4,1278,85.75899843505478,10.497276916058393,28.260456416195762,100.0
5,1240,84.91935483870968,10.889427920227918,22.969238248679268,100.0
6,1216,83.05921052631578,8.682306732673267,15.193293288593276,99.91776315789474
7,1255,80.0796812749004,8.706354228855721,10.839086279135998,100.0
8,1217,80.11503697617091,8.693359282051283,11.037983128448872,100.0
9,1168,81.33561643835617,9.148691894736844,13.098763197468525,100.0
10,1146,80.0174520069808,8.069780152671756,10.328852186356237,100.0
11,1120,80.17857142857143,7.563879621380846,10.692120115566938,100.0
12,1050,79.23809523809524,6.93754423076923,9.648784155633964,100.0
13,888,80.96846846846847,7.447466481223922,12.966533507778982,100.0
14,876,81.16438356164383,7.890571870604781,15.275509342784027,100.0
15,854,81.38173302107728,7.329358129496403,13.290765639774321,100.0
16,844,81.27962085308057,7.716637609329446,13.81632240788011,100.0
17,807,79.30607187112764,7.40799265625,11.619429438864564,100.0
18,792,77.3989898989899,8.16008841761827,13.227098588688992,100.0
19,757,79.7886393659181,6.939617052980132,11.985250936524498,100.0
20,637,78.02197802197803,8.00912796780684,12.298087071077068,100.0
21,600,79.16666666666666,8.16209705263158,12.856441126592795,100.0
22,564,82.80141843971631,8.615129764453961,21.441201267521414,100.0
23,537,82.12290502793296,8.24897641723356,18.50095612213138,100.0
24,508,80.31496062992126,8.361587990196078,14.760320999202607,100.0
25,529,79.96219281663515,7.705082269503545,14.365434099049105,100.0
26,487,79.46611909650923,7.997875968992248,14.650828588063218,100.0
27,97,88.65979381443299,7.2447511627906955,37.69267439820443,100.0
28,87,90.80459770114942,5.8917215189873415,14.269124531332867,100.0
29,72,91.66666666666666,6.950354545454545,41.46389832959722,100.0
30,61,86.88524590163934,7.135788679245282,37.78831569797068,100.0
