ticker,et,model,called,p_tight,p_normal,p_expanded,p_explosive,actual,next_bar_move_atr
QQQ,15:10,c49qf,TIGHT,0.690,0.243,0.057,0.010,TIGHT,0.087
QQQ,15:15,6hp7l,TIGHT,0.988,0.009,0.002,0.001,TIGHT,0.077
QQQ,15:15,c49qf,TIGHT,0.690,0.243,0.057,0.010,TIGHT,0.077
QQQ,15:20,6hp7l,TIGHT,0.988,0.009,0.001,0.001,TIGHT,0.056
QQQ,15:20,c49qf,TIGHT,0.688,0.243,0.057,0.011,TIGHT,0.056
QQQ,15:25,6hp7l,TIGHT,0.992,0.006,0.001,0.001,TIGHT,0.001
QQQ,15:25,c49qf,TIGHT,0.650,0.259,0.067,0.024,TIGHT,0.001
QQQ,15:30,6hp7l,TIGHT,0.993,0.005,0.001,0.000,TIGHT,0.051
QQQ,15:30,c49qf,TIGHT,0.684,0.243,0.062,0.011,TIGHT,0.051
QQQ,15:35,6hp7l,TIGHT,0.990,0.007,0.003,0.000,TIGHT,0.024
