model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0217,0.0181,0.0259,0.5132,,,
elasticnet,0.0302,0.0165,0.0372,0.5195,,,
lasso,0.03,0.0164,0.0368,0.5196,,,
lasso_sparse,0.0302,0.0165,0.0372,0.5197,,,
lgbm,0.0603,0.0291,0.0584,0.5255,,,
lgbm_shallow,0.039,0.0295,0.0399,0.5193,,,
pls10,0.0228,0.0206,0.028,0.5138,,,
pls5,0.0132,0.0114,0.024,0.5107,,,
ridge,0.0304,0.0163,0.0372,0.5198,,,
ridge_strong,0.0307,0.0164,0.0375,0.5196,,,
