model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0423,0.0116,0.0543,0.5261,1.3514,6.368,0.5462
elasticnet,0.0474,0.015,0.061,0.5302,0.8472,4.156,0.5198
lasso,0.0474,0.0149,0.0613,0.5303,0.6386,3.318,0.514
lasso_sparse,0.048,0.0143,0.0616,0.5305,0.8508,4.26,0.5184
lgbm,0.0334,0.0434,0.0259,0.5123,3.244,15.794,0.5922
lgbm_shallow,0.036,0.0326,0.033,0.5167,2.1386,11.838,0.57
pls10,0.0384,0.0156,0.0522,0.5245,1.5098,7.268,0.5598
pls5,0.0274,0.0094,0.0395,0.519,0.113,1.004,0.5114
ridge,0.0472,0.015,0.0611,0.5303,0.6422,3.212,0.5156
ridge_strong,0.0474,0.0152,0.0605,0.53,1.0132,4.782,0.5268
