model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0463,0.0314,0.0504,0.5207,-0.0888,1.092,0.4518
elasticnet,0.0536,0.0344,0.0534,0.5248,-1.8034,-5.804,0.395
lasso,0.0517,0.0322,0.0511,0.5242,-1.9242,-6.364,0.3882
lasso_sparse,0.0536,0.0341,0.0535,0.5249,-1.8426,-5.938,0.3956
lgbm,0.0226,0.0371,0.0293,0.5154,1.1704,3.95,0.51
lgbm_shallow,0.0511,0.0406,0.0454,0.5238,0.6382,2.57,0.4764
pls10,0.0484,0.0346,0.05,0.5191,0.0972,1.624,0.4572
pls5,0.0398,0.0246,0.0445,0.5136,0.5654,2.536,0.4684
ridge,0.0532,0.0337,0.0528,0.525,-2.0238,-6.578,0.3874
ridge_strong,0.0539,0.0343,0.0539,0.5251,-1.8132,-5.722,0.3972
