model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0263,0.063,-0.0021,0.4937,,,
elasticnet,0.0239,0.0726,0.0062,0.5018,,,
lasso,0.0268,0.0749,0.0096,0.5033,,,
lasso_sparse,0.0266,0.0739,0.0094,0.5032,,,
lgbm,0.0403,0.065,0.0276,0.5149,,,
lgbm_shallow,0.0225,0.0553,0.0126,0.5099,,,
pls10,0.0284,0.0685,0.0078,0.4997,,,
pls5,0.0251,0.0618,0.0004,0.4953,,,
ridge,0.0254,0.0734,0.0077,0.5026,,,
ridge_strong,0.0256,0.072,0.0071,0.502,,,
