model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0329,0.0276,0.0298,0.5163,0.9358,4.978,0.4916
elasticnet,0.0468,0.028,0.0424,0.5234,-0.1262,-0.14,0.4596
lasso,0.0507,0.031,0.0477,0.5262,-0.1636,-0.22,0.4592
lasso_sparse,0.0511,0.0308,0.0483,0.5263,-0.0676,0.142,0.462
lgbm,0.0203,0.0286,0.0236,0.5102,1.9772,9.468,0.5196
lgbm_shallow,0.0446,0.0369,0.0442,0.5213,1.2534,6.382,0.5056
pls10,0.0396,0.0228,0.0394,0.5223,0.545,3.406,0.4812
pls5,0.0276,0.0277,0.0245,0.5131,0.1162,1.368,0.4644
ridge,0.0488,0.0293,0.0457,0.5252,-0.2738,-0.82,0.4578
ridge_strong,0.0484,0.0288,0.0451,0.5249,-0.1172,-0.066,0.461
