model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0559,0.0511,0.0365,0.5135,,,
elasticnet,0.058,0.0536,0.0384,0.517,,,
lasso,0.0561,0.0524,0.0361,0.5164,,,
lasso_sparse,0.0563,0.0525,0.0363,0.5164,,,
lgbm,0.0511,0.0464,0.0389,0.5124,,,
lgbm_shallow,0.0229,0.0515,0.0303,0.5164,,,
pls10,0.0546,0.0555,0.0341,0.5127,,,
pls5,0.0446,0.0445,0.0323,0.5085,,,
ridge,0.0575,0.0537,0.0374,0.5169,,,
ridge_strong,0.0581,0.053,0.0386,0.5166,,,
