ticker,strat_combo,vex_tercile,n,mean_bps,hit_pct
IWM,11_inside_compression,HIGH,82,2.206810545128461,52.4390243902439
IWM,11_inside_compression,LOW,89,1.1226783558372706,56.17977528089888
IWM,11_inside_compression,MID,79,31.495547405012516,64.55696202531645
IWM,132_bear_continuation,HIGH,41,22.96328163722139,58.53658536585365
IWM,132_bear_continuation,LOW,39,-9.725972070632809,53.84615384615385
IWM,132_bear_continuation,MID,36,12.8550316640254,61.11111111111112
IWM,132_bull_continuation,HIGH,52,11.63049707579672,51.92307692307693
IWM,132_bull_continuation,LOW,52,11.00234113654126,50.0
IWM,132_bull_continuation,MID,43,-0.0531535610319281,53.48837209302325
IWM,212_bear_continuation,HIGH,100,9.144132258886064,52.0
IWM,212_bear_continuation,LOW,116,15.09939117674142,50.86206896551724
IWM,212_bear_continuation,MID,106,9.845945406507276,56.60377358490566
IWM,212_bear_reversal,HIGH,170,-9.010407094183387,51.17647058823529
IWM,212_bear_reversal,LOW,182,2.061795939950431,47.25274725274725
IWM,212_bear_reversal,MID,138,23.7093885432312,58.69565217391305
IWM,212_bull_continuation,HIGH,96,5.39144383395912,47.91666666666667
IWM,212_bull_continuation,LOW,104,-10.896098973155624,43.26923076923077
IWM,212_bull_continuation,MID,109,-5.912448977219881,45.87155963302752
IWM,212_bull_reversal,HIGH,206,12.627843778116304,54.85436893203883
IWM,212_bull_reversal,LOW,198,-0.2653333574155245,50.0
IWM,212_bull_reversal,MID,179,-5.573052703193544,54.7486033519553
IWM,22_bear_continuation,HIGH,859,0.174349092630364,51.33876600698487
IWM,22_bear_continuation,LOW,903,-0.6470608731090717,50.49833887043189
IWM,22_bear_continuation,MID,834,9.47676548729765,52.6378896882494
IWM,22_bear_reversal,HIGH,767,7.355256216455984,53.58539765319426
IWM,22_bear_reversal,LOW,694,-0.0907423267600061,49.42363112391931
IWM,22_bear_reversal,MID,746,5.236040425278175,51.60857908847185
IWM,22_bull_continuation,HIGH,1128,8.125398494759896,56.73758865248227
IWM,22_bull_continuation,LOW,985,4.597970768774953,51.47208121827411
