fold,model,n_train,n_test,ic,rank_ic,auc,ls_sharpe,ls_mean_bps,ls_win_rate
1,ridge,9093,9093,0.0385,0.0235,0.505,3.782,14.04,0.58
1,ridge_strong,9093,9093,0.0389,0.0247,0.5054,3.714,13.84,0.577
1,lasso,9093,9093,0.0372,0.0212,0.5037,3.9,14.54,0.587
1,lasso_sparse,9093,9093,0.0369,0.021,0.5036,3.867,14.4,0.589
1,elasticnet,9093,9093,0.0382,0.023,0.5047,3.882,14.41,0.584
1,bayes_ridge,9093,9093,0.0383,0.0245,0.5048,3.73,13.82,0.57
1,pls5,9093,9093,0.0283,0.0124,0.4956,1.899,7.08,0.497
1,pls10,9093,9093,0.031,0.0196,0.5027,3.902,14.82,0.58
1,lgbm,9093,9093,0.0587,0.0664,0.5256,4.475,17.59,0.612
1,lgbm_shallow,9093,9093,0.0372,0.0579,0.5186,4.961,19.84,0.603
2,ridge,18186,9093,0.0162,0.0019,0.5085,2.146,13.55,0.531
2,ridge_strong,18186,9093,0.0181,0.0021,0.508,2.282,14.3,0.531
2,lasso,18186,9093,0.0182,0.0024,0.5084,2.258,14.04,0.529
2,lasso_sparse,18186,9093,0.0187,0.0022,0.5081,2.337,14.7,0.533
2,elasticnet,18186,9093,0.0182,0.0021,0.508,2.305,14.44,0.533
2,bayes_ridge,18186,9093,0.0158,0.0012,0.5065,2.03,13.14,0.543
2,pls5,18186,9093,0.0049,-0.0021,0.4945,3.128,21.24,0.561
2,pls10,18186,9093,0.0172,0.0033,0.5078,2.523,16.26,0.55
2,lgbm,18186,9093,0.0101,0.0005,0.5003,1.697,9.84,0.506
2,lgbm_shallow,18186,9093,0.0099,-0.0057,0.4953,0.535,2.98,0.48
3,ridge,27279,9093,-0.0158,-0.019,0.4824,4.532,24.88,0.614
3,ridge_strong,27279,9093,-0.0164,-0.0208,0.481,4.391,24.01,0.612
3,lasso,27279,9093,-0.0169,-0.0213,0.481,4.38,24.05,0.605
3,lasso_sparse,27279,9093,-0.0169,-0.0218,0.4804,4.315,23.83,0.605
3,elasticnet,27279,9093,-0.0163,-0.0209,0.4808,4.364,23.72,0.612
3,bayes_ridge,27279,9093,-0.0159,-0.0215,0.4806,4.827,27.27,0.614
3,pls5,27279,9093,-0.0197,-0.0245,0.4797,4.132,24.15,0.596
3,pls10,27279,9093,-0.0189,-0.0241,0.4799,4.551,26.08,0.6
3,lgbm,27279,9093,0.0318,0.0137,0.4925,1.101,5.62,0.473
3,lgbm_shallow,27279,9093,0.0182,-0.0028,0.4874,1.345,6.82,0.503
4,ridge,36372,9011,-0.0045,0.0051,0.4988,1.917,7.87,0.524
4,ridge_strong,36372,9011,-0.003,0.0081,0.4996,1.683,6.98,0.52
4,lasso,36372,9011,-0.0033,0.0078,0.4995,1.756,7.27,0.527
4,lasso_sparse,36372,9011,-0.0028,0.0086,0.5,1.828,7.59,0.533
4,elasticnet,36372,9011,-0.003,0.0082,0.4996,1.655,6.9,0.527
4,bayes_ridge,36372,9011,-0.0026,0.0075,0.5024,2.242,9.05,0.543
4,pls5,36372,9011,0.0039,0.0121,0.5098,1.352,5.4,0.533
4,pls10,36372,9011,-0.0068,0.0025,0.4974,2.068,8.55,0.52
4,lgbm,36372,9011,-0.0011,-0.0087,0.4855,-0.309,-1.38,0.503
4,lgbm_shallow,36372,9011,-0.0091,-0.0201,0.4878,-1.195,-4.61,0.455
5,ridge,45383,7443,0.0965,0.062,0.5296,0.501,2.26,0.485
5,ridge_strong,45383,7443,0.0905,0.0586,0.5284,0.151,0.68,0.468
5,lasso,45383,7443,0.0917,0.0585,0.5284,0.303,1.36,0.482
5,lasso_sparse,45383,7443,0.0906,0.0575,0.5277,0.263,1.19,0.465
5,elasticnet,45383,7443,0.09,0.0576,0.5278,0.243,1.1,0.465
5,bayes_ridge,45383,7443,0.082,0.0405,0.5178,0.127,0.55,0.47
5,pls5,45383,7443,0.0642,0.0237,0.5094,-0.289,-1.34,0.454
5,pls10,45383,7443,0.0841,0.0447,0.5185,0.091,0.4,0.476
5,lgbm,45383,7443,0.0762,-0.003,0.5,0.12,0.69,0.479
5,lgbm_shallow,45383,7443,0.1036,0.0085,0.5089,0.689,4.39,0.431
