ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
IWM,111_inside_compression,GEX_HIGH_VEX_HIGH,283,49.82,44.52,55.48,-0.55,8.75
IWM,111_inside_compression,GEX_HIGH_VEX_LOW,104,44.23,35.58,53.85,-0.62,10.61
IWM,111_inside_compression,GEX_HIGH_VEX_MID,146,56.16,49.32,63.37,0.47,10.88
IWM,111_inside_compression,GEX_LOW_VEX_HIGH,127,46.46,37.8,54.33,-0.23,7.33
IWM,111_inside_compression,GEX_LOW_VEX_LOW,108,53.7,43.52,62.96,-0.23,17.29
IWM,111_inside_compression,GEX_LOW_VEX_MID,106,58.49,49.06,68.87,-0.05,18.52
IWM,111_inside_compression,GEX_MID_VEX_HIGH,285,43.51,37.71,49.12,-0.06,23.32
IWM,111_inside_compression,GEX_MID_VEX_LOW,59,49.15,37.29,62.71,1.8,36.21
IWM,111_inside_compression,GEX_MID_VEX_MID,141,50.35,42.89,58.87,-0.04,8.95
IWM,11_inside_compression,GEX_HIGH_VEX_HIGH,2434,47.25,45.21,49.26,-0.36,9.6
IWM,11_inside_compression,GEX_HIGH_VEX_LOW,1479,48.88,46.55,51.39,-0.45,12.46
IWM,11_inside_compression,GEX_HIGH_VEX_MID,1378,48.98,46.19,51.45,0.59,14.87
IWM,11_inside_compression,GEX_LOW_VEX_HIGH,1335,49.06,46.22,51.99,0.05,9.21
IWM,11_inside_compression,GEX_LOW_VEX_LOW,1512,52.18,49.87,55.03,0.42,15.07
IWM,11_inside_compression,GEX_LOW_VEX_MID,1507,52.69,50.06,54.91,0.45,16.69
IWM,11_inside_compression,GEX_MID_VEX_HIGH,2828,49.12,47.31,50.99,0.24,17.1
IWM,11_inside_compression,GEX_MID_VEX_LOW,732,52.73,49.11,56.08,1.16,16.93
IWM,11_inside_compression,GEX_MID_VEX_MID,1677,49.73,47.35,52.09,0.06,17.34
IWM,132_bear_continuation,GEX_HIGH_VEX_HIGH,902,48.56,45.01,51.72,-0.24,11.91
IWM,132_bear_continuation,GEX_HIGH_VEX_LOW,904,47.9,44.63,51.33,-0.39,11.27
IWM,132_bear_continuation,GEX_HIGH_VEX_MID,681,51.4,47.43,55.37,0.08,15.03
IWM,132_bear_continuation,GEX_LOW_VEX_HIGH,471,49.68,44.9,54.35,0.44,10.47
IWM,132_bear_continuation,GEX_LOW_VEX_LOW,1098,52.0,49.04,55.2,1.21,21.13
IWM,132_bear_continuation,GEX_LOW_VEX_MID,990,49.19,45.91,52.02,0.33,18.1
IWM,132_bear_continuation,GEX_MID_VEX_HIGH,1180,49.24,46.44,52.63,-0.07,17.89
IWM,132_bear_continuation,GEX_MID_VEX_LOW,544,54.04,49.82,57.9,0.52,15.59
IWM,132_bear_continuation,GEX_MID_VEX_MID,913,49.95,46.77,53.07,0.34,14.73
IWM,132_bull_continuation,GEX_HIGH_VEX_HIGH,891,47.47,44.27,50.9,-0.23,15.1
