fold,model,n_train,n_test,ic,rank_ic,auc,ls_sharpe,ls_mean_bps,ls_win_rate
1,ridge,16886,16886,0.0265,0.0362,0.5156,1.465,5.19,0.497
1,ridge_strong,16886,16886,0.0263,0.036,0.5156,1.398,4.94,0.487
1,lasso,16886,16886,0.0254,0.0345,0.5146,1.501,5.33,0.501
1,lasso_sparse,16886,16886,0.0256,0.0345,0.5149,1.498,5.31,0.501
1,elasticnet,16886,16886,0.0251,0.0337,0.5147,1.428,5.04,0.494
1,bayes_ridge,16886,16886,0.0232,0.0328,0.514,1.448,5.13,0.497
1,pls5,16886,16886,0.0184,0.0326,0.5152,-1.553,-5.64,0.427
1,pls10,16886,16886,0.0142,0.0241,0.5087,1.249,4.31,0.513
1,lgbm,16886,16886,0.026,0.0413,0.5189,2.31,8.78,0.545
1,lgbm_shallow,16886,16886,0.0364,0.0448,0.5211,3.586,13.52,0.591
2,ridge,33770,16886,0.0302,0.0161,0.5114,1.142,7.81,0.497
2,ridge_strong,33770,16886,0.0297,0.0162,0.5115,0.924,6.26,0.485
2,lasso,33770,16886,0.0296,0.016,0.5114,0.941,6.38,0.485
2,lasso_sparse,33770,16886,0.0299,0.0166,0.5116,0.939,6.47,0.478
2,elasticnet,33770,16886,0.0297,0.0163,0.5115,0.899,6.11,0.483
2,bayes_ridge,33770,16886,0.0308,0.0181,0.512,1.605,11.23,0.529
2,pls5,33770,16886,0.0247,0.0145,0.5052,1.882,11.46,0.543
2,pls10,33770,16886,0.0332,0.0214,0.5142,2.088,14.44,0.533
2,lgbm,33770,16886,0.0132,0.0094,0.503,2.426,14.69,0.55
2,lgbm_shallow,33770,16886,0.0088,-0.0005,0.5007,1.352,7.97,0.522
3,ridge,50656,16887,0.0118,0.0224,0.5085,1.069,4.77,0.508
3,ridge_strong,50656,16887,0.0122,0.0215,0.5078,1.167,5.15,0.513
3,lasso,50656,16887,0.0121,0.021,0.5076,1.189,5.21,0.51
3,lasso_sparse,50656,16887,0.0125,0.0215,0.5079,1.311,5.7,0.52
3,elasticnet,50656,16887,0.0121,0.0208,0.5074,1.146,4.98,0.513
3,bayes_ridge,50656,16887,0.0117,0.0223,0.5091,1.889,8.26,0.547
3,pls5,50656,16887,0.013,0.0177,0.5071,2.972,12.65,0.529
3,pls10,50656,16887,0.0056,0.0157,0.5037,1.913,8.84,0.536
3,lgbm,50656,16887,0.0038,-0.0016,0.4927,-0.415,-2.02,0.462
3,lgbm_shallow,50656,16887,0.0296,0.0246,0.506,-0.742,-3.8,0.464
4,ridge,67543,16728,0.0154,0.0306,0.5165,-0.203,-0.74,0.45
4,ridge_strong,67543,16728,0.0159,0.031,0.5166,0.101,0.37,0.448
4,lasso,67543,16728,0.0157,0.0308,0.5163,0.161,0.59,0.46
4,lasso_sparse,67543,16728,0.0157,0.0308,0.5163,0.094,0.34,0.453
4,elasticnet,67543,16728,0.0159,0.0311,0.5166,0.121,0.45,0.453
4,bayes_ridge,67543,16728,0.0166,0.032,0.5179,0.351,1.22,0.487
4,pls5,67543,16728,0.0149,0.0297,0.5189,0.735,2.5,0.494
4,pls10,67543,16728,0.0133,0.0274,0.5137,0.099,0.35,0.467
4,lgbm,67543,16728,0.0016,0.0046,0.4997,0.695,2.47,0.48
4,lgbm_shallow,67543,16728,0.0038,0.0022,0.498,-0.452,-1.63,0.485
5,ridge,84271,13803,0.0641,0.067,0.5271,-0.993,-4.01,0.44
5,ridge_strong,84271,13803,0.0625,0.0659,0.5266,-0.877,-3.48,0.446
5,lasso,84271,13803,0.062,0.0654,0.5265,-0.932,-3.65,0.451
5,lasso_sparse,84271,13803,0.0615,0.0654,0.5263,-0.915,-3.61,0.448
5,elasticnet,84271,13803,0.0622,0.0656,0.5265,-0.99,-3.86,0.448
5,bayes_ridge,84271,13803,0.051,0.0582,0.5233,-0.643,-2.54,0.459
5,pls5,84271,13803,0.0364,0.0445,0.5176,-0.658,-2.47,0.438
5,pls10,84271,13803,0.0533,0.0574,0.5206,-0.807,-3.29,0.448
5,lgbm,84271,13803,0.0311,0.0283,0.5098,0.503,2.66,0.48
5,lgbm_shallow,84271,13803,0.0554,0.0182,0.5013,-1.338,-6.33,0.416
