model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
lasso,0.0193,0.0153,0.0053,0.5016,-0.3014,0.226,0.4236
lgbm,0.0103,0.0072,0.0063,0.5018,-2.7272,-3.438,0.332
ridge,0.0192,0.0148,0.0057,0.5021,-0.6126,-0.23,0.4102
