fold,model,n_train,n_test,ic,rank_ic,auc,ls_sharpe,ls_mean_bps,ls_win_rate
1,ridge,67510,67483,0.0222,0.023,0.5124,0.633,1.01,0.485
1,lasso,67510,67483,0.0228,0.0239,0.5126,0.479,0.75,0.476
1,lgbm,67510,67483,0.0334,0.03,0.5132,-0.578,-1.01,0.453
2,ridge,134986,67434,0.039,0.034,0.5202,1.812,5.97,0.508
2,lasso,134986,67434,0.0393,0.0341,0.5201,1.774,5.77,0.515
2,lgbm,134986,67434,0.0409,0.0153,0.504,2.263,8.7,0.503
3,ridge,202419,67529,-0.0034,0.0104,0.5075,2.549,5.46,0.522
3,lasso,202419,67529,-0.0039,0.01,0.5074,2.552,5.51,0.524
3,lgbm,202419,67529,0.0106,0.0111,0.4975,0.658,1.54,0.48
4,ridge,269952,66518,0.0109,0.0152,0.5033,-2.579,-5.05,0.353
4,lasso,269952,66518,0.0111,0.0155,0.5035,-2.287,-4.53,0.367
4,lgbm,269952,66518,-0.0044,0.011,0.5032,-1.255,-2.55,0.42
5,ridge,336452,64402,0.0358,0.0386,0.5199,-1.816,-4.28,0.427
5,lasso,336452,64402,0.0402,0.0386,0.5197,-1.644,-3.87,0.44
5,lgbm,336452,64402,0.0162,0.0026,0.4945,-2.094,-5.93,0.387
