ticker,strat_combo,feature,n,pearson,spearman
IWM,11_inside_compression,rsi_9,566,-0.0005,-0.0003
IWM,11_inside_compression,rsi_14,566,-0.0045,0.0063
IWM,11_inside_compression,stoch_rsi_k,566,0.0268,0.006
IWM,11_inside_compression,stoch_rsi_d,566,0.0156,-0.004
IWM,11_inside_compression,ema_9,566,-0.0823,-0.064
IWM,11_inside_compression,ema_20,566,-0.0822,-0.0645
IWM,11_inside_compression,ema_50,565,-0.0811,-0.0621
IWM,11_inside_compression,sma_50,565,-0.0808,-0.0616
IWM,11_inside_compression,sma_200,564,-0.0851,-0.0699
IWM,11_inside_compression,macd,565,-0.0165,0.0274
IWM,11_inside_compression,macd_signal,565,-0.0272,0.0372
IWM,11_inside_compression,macd_histogram,565,0.03,-0.0278
IWM,11_inside_compression,atr_14,566,-0.0116,0.0301
IWM,11_inside_compression,bb_upper,566,-0.082,-0.0626
IWM,11_inside_compression,bb_lower,566,-0.0827,-0.0649
IWM,11_inside_compression,bb_width,566,-0.0148,0.0379
IWM,11_inside_compression,bb_pct,566,-0.0029,-0.0039
IWM,11_inside_compression,obv,566,-0.0662,-0.0322
IWM,11_inside_compression,rvol,566,0.0961,0.0627
IWM,11_inside_compression,rvol_10,566,0.1006,0.0547
IWM,11_inside_compression,vwap,566,-0.0814,-0.0627
IWM,11_inside_compression,price_vs_vwap,566,-0.0381,-0.0557
IWM,11_inside_compression,price_vs_ema9,566,0.0269,0.0053
IWM,11_inside_compression,price_vs_ema20,566,0.0199,0.0136
IWM,11_inside_compression,consecutive_up,566,0.0343,0.0572
IWM,11_inside_compression,consecutive_down,566,-0.0513,-0.0578
IWM,11_inside_compression,intraday_return,566,-0.086,-0.0103
IWM,11_inside_compression,high_low_spread_pct,566,0.0265,0.0503
IWM,11_inside_compression,vix_close,566,-0.0069,0.013
IWM,11_inside_compression,total_gex,565,0.0447,0.0566
IWM,11_inside_compression,total_vex,565,0.0623,0.0174
IWM,11_inside_compression,flip_price,140,0.0783,0.0846
IWM,11_inside_compression,distance_to_king_pct,565,-0.0189,0.0272
IWM,11_inside_compression,distance_to_gate_pct,551,-0.0765,-0.0438
IWM,132_bear_continuation,rsi_9,495,0.0377,0.0267
IWM,132_bear_continuation,rsi_14,495,0.0465,0.0357
IWM,132_bear_continuation,stoch_rsi_k,495,-0.0329,-0.0641
IWM,132_bear_continuation,stoch_rsi_d,495,-0.0421,-0.0694
IWM,132_bear_continuation,ema_9,495,-0.0352,-0.0283
IWM,132_bear_continuation,ema_20,495,-0.035,-0.0276
IWM,132_bear_continuation,ema_50,495,-0.036,-0.0276
IWM,132_bear_continuation,sma_50,495,-0.0358,-0.028
IWM,132_bear_continuation,sma_200,494,-0.048,-0.0395
IWM,132_bear_continuation,macd,495,0.0009,0.0377
IWM,132_bear_continuation,macd_signal,495,0.0194,0.037
IWM,132_bear_continuation,macd_histogram,495,-0.0582,-0.0662
IWM,132_bear_continuation,atr_14,495,-0.0483,-0.0339
IWM,132_bear_continuation,bb_upper,495,-0.0359,-0.0284
