feature,gain
vix_close,185221202.8076172
price_vs_vwap,65073190.36083984
macd_signal,57900831.29199219
bb_width,56625852.79003906
macd_histogram,48869926.89404297
rvol,44140023.06396485
distance_to_gate_pct,41976427.82965088
atr_14,39629191.509277344
total_gex,38649550.50048828
stoch_rsi_d,34986906.51538086
obv,34694885.2890625
distance_to_king_pct,33875092.501464844
macd,29357070.169921875
rvol_10,28703625.381225582
total_vex,26448152.995117188
high_low_spread_pct,24732127.2822876
bb_upper,18926672.90722656
ema_50,18726516.8984375
sma_200,18671404.403320312
stoch_rsi_k,16865519.82861328
bb_pct,15632080.19140625
price_vs_ema20,15411666.677734377
rsi_14,15163812.700195312
ema_9,12505286.686523438
sma_50,12319006.594726562
bb_lower,12151112.854492188
vwap,12052237.27734375
rsi_9,10417597.6015625
intraday_return,9486233.206054688
price_vs_ema9,8708827.685546875
ema_20,5648279.390625
flip_price,4929913.400390625
gex_tercile_MID,4488581.397949219
vex_tercile_MID,3127531.08984375
dealer_regime_GEX_LOW_VEX_MID,3030826.41015625
dealer_regime_GEX_MID_VEX_HIGH,2756303.69921875
consecutive_up,2516887.795898437
gex_tercile_LOW,2246760.8984375
strat_combo_22_bull_continuation,2022134.0
vex_tercile_HIGH,1887858.30078125
vex_tercile_LOW,1746713.140625
consecutive_1s,1345348.0
prev_strat_candle_3,1177363.0
gex_tercile_HIGH,1030309.3984375
consecutive_down,1006356.1333007812
dealer_regime_GEX_MID_VEX_MID,968105.90234375
vix_tercile_MID,931054.90234375
prev_strat_candle_2D,913516.8984375
dealer_regime_GEX_HIGH_VEX_HIGH,870057.900390625
dealer_regime_GEX_MID_VEX_LOW,804754.205078125
