ticker,strat_combo,vix_tercile,n,mean_bps,hit_pct
IWM,11_inside_compression,HIGH,71,25.299705625511287,64.7887323943662
IWM,11_inside_compression,LOW,102,9.933222200275436,56.86274509803921
IWM,11_inside_compression,MID,77,-0.5252296165370977,51.94805194805194
IWM,132_bear_continuation,HIGH,33,31.60615435847568,51.51515151515152
IWM,132_bear_continuation,LOW,39,5.2094361041944985,64.1025641025641
IWM,132_bear_continuation,MID,45,-6.990640500081003,55.55555555555556
IWM,132_bull_continuation,HIGH,45,17.88656455781466,53.333333333333336
IWM,132_bull_continuation,LOW,51,4.804694725090825,50.98039215686274
IWM,132_bull_continuation,MID,52,2.559649480893598,51.92307692307693
IWM,212_bear_continuation,HIGH,102,17.430615283763732,55.88235294117647
IWM,212_bear_continuation,LOW,116,4.652711389429997,50.0
IWM,212_bear_continuation,MID,104,13.384380147717328,53.84615384615385
IWM,212_bear_reversal,HIGH,167,9.68243821414488,53.293413173652695
IWM,212_bear_reversal,LOW,159,3.929192931820508,54.088050314465406
IWM,212_bear_reversal,MID,165,-0.688896257068478,48.48484848484848
IWM,212_bull_continuation,HIGH,93,5.642214302451785,50.53763440860215
IWM,212_bull_continuation,LOW,108,1.4332345750234643,47.22222222222222
IWM,212_bull_continuation,MID,108,-17.959147110144695,39.81481481481482
IWM,212_bull_reversal,HIGH,164,0.3294720674193045,54.268292682926834
IWM,212_bull_reversal,LOW,204,8.81681520940875,55.392156862745104
IWM,212_bull_reversal,MID,216,-1.139829195923384,50.46296296296296
IWM,22_bear_continuation,HIGH,1015,2.3080075113779137,50.14778325123152
IWM,22_bear_continuation,LOW,712,5.854285715227522,54.35393258426966
IWM,22_bear_continuation,MID,873,0.8923190775644462,50.74455899198167
IWM,22_bear_reversal,HIGH,780,4.182652491390542,50.64102564102564
IWM,22_bear_reversal,LOW,722,6.671849373260304,53.8781163434903
IWM,22_bear_reversal,MID,710,2.4148882985849,50.563380281690144
IWM,22_bull_continuation,HIGH,1020,3.683274860895964,53.92156862745098
IWM,22_bull_continuation,LOW,1110,7.929208768666576,55.4054054054054
IWM,22_bull_continuation,MID,1108,7.416130952872309,54.51263537906137
IWM,22_bull_reversal,HIGH,769,-0.3139035115696941,52.925877763329
IWM,22_bull_reversal,LOW,684,2.799053998375473,50.73099415204678
IWM,22_bull_reversal,MID,672,-2.417531848284284,48.06547619047619
IWM,312_bear_reversal,HIGH,37,24.79162670029725,37.83783783783784
IWM,312_bear_reversal,MID,32,4.949318450733909,56.25
IWM,312_bull_reversal,HIGH,37,10.470553593133516,56.75675675675676
IWM,312_bull_reversal,LOW,56,7.801681150875106,55.35714285714286
IWM,312_bull_reversal,MID,60,16.082193909106625,58.333333333333336
IWM,322_bear_continuation,HIGH,96,1.237020277223362,48.95833333333333
IWM,322_bear_continuation,LOW,80,6.422598309241634,55.00000000000001
IWM,322_bear_continuation,MID,98,-5.584286404681633,45.91836734693878
IWM,322_bull_continuation,HIGH,121,19.44705831739249,57.02479338842975
IWM,322_bull_continuation,LOW,95,8.206188320196004,55.78947368421052
IWM,322_bull_continuation,MID,113,-2.9779034851679773,49.55752212389381
IWM,32_bear_reversal,HIGH,49,-64.74072193461957,32.6530612244898
IWM,32_bear_reversal,LOW,35,17.416632695629904,60.0
IWM,32_bear_reversal,MID,30,-11.535991061034602,43.333333333333336
IWM,32_bull_reversal,HIGH,41,-1.7203761419592032,48.78048780487805
IWM,32_bull_reversal,LOW,40,21.623851845979047,62.5
IWM,32_bull_reversal,MID,53,5.695211671925136,56.60377358490566
IWM,clean_2d_bear,HIGH,120,4.4768256388007215,55.833333333333336
IWM,clean_2d_bear,LOW,123,10.958570073207085,54.47154471544715
IWM,clean_2d_bear,MID,98,-5.084492302403465,52.04081632653062
IWM,clean_2u_bull,HIGH,133,4.966150779335004,55.639097744360896
IWM,clean_2u_bull,LOW,112,0.6957740722800795,51.78571428571429
IWM,clean_2u_bull,MID,129,-1.8599781383691083,48.06201550387597
IWM,f2d_bull_reversal,HIGH,52,6.002390567118639,46.15384615384615
IWM,f2d_bull_reversal,LOW,55,12.801801383260251,58.18181818181818
IWM,f2d_bull_reversal,MID,53,13.167914786796448,58.490566037735846
IWM,f2u_bear_reversal,HIGH,72,-0.955177203568792,52.77777777777778
IWM,f2u_bear_reversal,LOW,51,18.599986666717964,58.82352941176471
IWM,f2u_bear_reversal,MID,50,14.219183180549576,64.0
IWM,none,HIGH,1175,-1.5557565561059303,51.91489361702127
IWM,none,LOW,1226,4.869373185776953,51.876019575856446
IWM,none,MID,1240,4.243203866955549,52.41935483870967
QQQ,11_inside_compression,HIGH,42,20.509444804041145,59.523809523809526
QQQ,11_inside_compression,LOW,71,17.668115659473496,63.38028169014085
QQQ,11_inside_compression,MID,60,7.857189124405608,53.333333333333336
QQQ,132_bear_continuation,HIGH,37,29.143532521883085,56.75675675675676
QQQ,132_bear_continuation,LOW,33,14.898194737382616,60.60606060606061
QQQ,132_bear_continuation,MID,32,-10.080315583696573,65.625
QQQ,132_bull_continuation,HIGH,32,4.944165041916825,46.875
QQQ,132_bull_continuation,LOW,40,2.1362261201383843,52.5
QQQ,132_bull_continuation,MID,48,8.911014272033476,58.333333333333336
QQQ,212_bear_continuation,HIGH,123,-3.1248529745291824,48.78048780487805
QQQ,212_bear_continuation,LOW,82,24.045904365090426,69.51219512195121
QQQ,212_bear_continuation,MID,94,13.053287494962426,55.319148936170215
QQQ,212_bear_reversal,HIGH,146,28.79983570384674,57.53424657534247
QQQ,212_bear_reversal,LOW,179,6.883471622943196,62.56983240223464
QQQ,212_bear_reversal,MID,163,14.095989266768756,57.66871165644172
QQQ,212_bull_continuation,HIGH,98,10.514482763318634,55.10204081632652
QQQ,212_bull_continuation,LOW,152,8.94775301482825,59.86842105263158
QQQ,212_bull_continuation,MID,116,16.49075745608071,56.896551724137936
QQQ,212_bull_reversal,HIGH,156,27.16032097984541,59.61538461538461
QQQ,212_bull_reversal,LOW,191,7.740770920696261,59.16230366492147
QQQ,212_bull_reversal,MID,166,-7.263641834881244,56.024096385542165
QQQ,22_bear_continuation,HIGH,1041,3.1196370873231527,49.75984630163304
QQQ,22_bear_continuation,LOW,614,11.245099845485298,59.60912052117264
QQQ,22_bear_continuation,MID,765,11.325659074298486,57.25490196078431
QQQ,22_bear_reversal,HIGH,764,1.193581811147317,52.4869109947644
QQQ,22_bear_reversal,LOW,717,8.814101044608778,61.64574616457463
QQQ,22_bear_reversal,MID,707,-0.9312084387824284,50.919377652050926
QQQ,22_bull_continuation,HIGH,1169,-2.880876131467088,53.55004277159966
QQQ,22_bull_continuation,LOW,1275,7.138974483774275,58.98039215686275
QQQ,22_bull_continuation,MID,1209,3.520738964257704,56.98924731182796
QQQ,22_bull_reversal,HIGH,782,1.8416283771713813,53.70843989769821
QQQ,22_bull_reversal,LOW,711,7.901911396611783,59.21237693389592
QQQ,22_bull_reversal,MID,714,4.699763087356898,54.34173669467787
QQQ,312_bear_reversal,HIGH,39,29.79841782600601,53.84615384615385
QQQ,312_bear_reversal,LOW,37,17.715064827323573,59.45945945945946
QQQ,312_bear_reversal,MID,35,15.778095576168814,54.285714285714285
QQQ,312_bull_reversal,HIGH,44,-61.509263985938176,34.090909090909086
QQQ,312_bull_reversal,LOW,56,12.929215737415166,58.92857142857143
QQQ,312_bull_reversal,MID,49,16.721585792180072,63.26530612244898
QQQ,322_bear_continuation,HIGH,95,-12.18987583636306,44.21052631578947
QQQ,322_bear_continuation,LOW,43,15.119634860022613,62.7906976744186
QQQ,322_bear_continuation,MID,78,4.505404429616076,58.97435897435898
QQQ,322_bull_continuation,HIGH,99,35.265500604501256,65.65656565656566
QQQ,322_bull_continuation,LOW,97,4.903016453463679,62.88659793814433
QQQ,322_bull_continuation,MID,124,11.17488183321491,59.67741935483871
QQQ,32_bear_reversal,HIGH,42,-43.23191284626092,40.47619047619048
