ticker,strat_combo,feature,n,pearson,spearman
IWM,11_inside_compression,rsi_9,363,-0.0232,-0.0467
IWM,11_inside_compression,rsi_14,363,-0.036,-0.0451
IWM,11_inside_compression,stoch_rsi_k,363,-0.019,-0.0858
IWM,11_inside_compression,stoch_rsi_d,363,-0.0214,-0.0836
IWM,11_inside_compression,ema_9,363,-0.1416,-0.0887
IWM,11_inside_compression,ema_20,363,-0.1415,-0.0873
IWM,11_inside_compression,ema_50,363,-0.139,-0.0875
IWM,11_inside_compression,sma_50,363,-0.1393,-0.0881
IWM,11_inside_compression,sma_200,363,-0.1272,-0.0773
IWM,11_inside_compression,macd,363,-0.0462,-0.014
IWM,11_inside_compression,macd_signal,363,-0.0701,-0.0215
IWM,11_inside_compression,macd_histogram,363,0.0547,-0.0297
IWM,11_inside_compression,atr_14,363,0.1064,0.0582
IWM,11_inside_compression,bb_upper,363,-0.1372,-0.0839
IWM,11_inside_compression,bb_lower,363,-0.1467,-0.0926
IWM,11_inside_compression,bb_width,363,0.1118,0.0947
IWM,11_inside_compression,bb_pct,363,-0.0145,-0.0449
IWM,11_inside_compression,obv,363,-0.0759,-0.0542
IWM,11_inside_compression,rvol,363,0.1666,0.1165
IWM,11_inside_compression,rvol_10,363,0.1497,0.097
IWM,11_inside_compression,vwap,363,-0.1413,-0.089
IWM,11_inside_compression,price_vs_vwap,363,0.0084,-0.0498
IWM,11_inside_compression,price_vs_ema9,363,-0.0131,-0.0184
IWM,11_inside_compression,price_vs_ema20,363,-0.0239,-0.0184
IWM,11_inside_compression,consecutive_up,363,-0.0186,-0.0567
IWM,11_inside_compression,consecutive_down,363,0.0198,0.059
IWM,11_inside_compression,intraday_return,363,-0.0275,0.0171
IWM,11_inside_compression,high_low_spread_pct,363,0.1878,0.1846
IWM,11_inside_compression,vix_close,363,0.1184,0.0419
IWM,11_inside_compression,total_gex,363,-0.0404,-0.0292
IWM,11_inside_compression,total_vex,363,0.0821,0.0478
IWM,11_inside_compression,flip_price,90,-0.148,-0.0926
IWM,11_inside_compression,distance_to_king_pct,363,-0.0427,-0.0317
IWM,11_inside_compression,distance_to_gate_pct,354,-0.0339,-0.0161
IWM,132_bear_continuation,rsi_9,224,0.0232,-0.0415
IWM,132_bear_continuation,rsi_14,224,0.0016,-0.0634
