ticker,strat_combo,gex_tercile,n,mean_bps,hit_pct
IWM,111_inside_compression,HIGH,533,-0.2870557959551362,50.469043151969984
IWM,111_inside_compression,LOW,341,-0.1711521281575432,52.49266862170088
IWM,111_inside_compression,MID,485,0.1757328140338981,46.18556701030928
IWM,11_inside_compression,HIGH,5291,-0.1408229822672031,48.15724815724816
IWM,11_inside_compression,LOW,4354,0.3161140734206667,51.401010564997705
IWM,11_inside_compression,MID,5237,0.3091455729005693,49.81859843421807
IWM,132_bear_continuation,HIGH,2487,-0.2096659728813001,49.09529553679132
IWM,132_bear_continuation,LOW,2559,0.7284707507232185,50.488472059398205
IWM,132_bear_continuation,MID,2637,0.1925027981918716,50.474023511566166
IWM,132_bull_continuation,HIGH,2524,-0.1511302589302071,48.93026941362916
IWM,132_bull_continuation,LOW,2596,0.0342940831034156,49.73035439137134
IWM,132_bull_continuation,MID,2646,0.1433343189423711,50.11337868480725
IWM,212_bear_continuation,HIGH,7777,-0.0323556254737176,50.22502250225023
IWM,212_bear_continuation,LOW,7312,0.2752379768944371,50.75218818380745
IWM,212_bear_continuation,MID,7861,0.2333669423540588,49.82826612390281
IWM,212_bear_continuation,,40,3.333539881775782,67.5
IWM,212_bear_reversal,HIGH,11627,-0.1368604765251421,49.952696310312206
IWM,212_bear_reversal,LOW,11250,0.2231959607584506,50.04444444444445
IWM,212_bear_reversal,MID,11866,-0.2555897780970355,48.51677060509017
IWM,212_bear_reversal,,58,1.6695561798068623,60.3448275862069
IWM,212_bull_continuation,HIGH,8047,-0.309164891703976,48.179445756182425
IWM,212_bull_continuation,LOW,7658,-0.098384171136237,49.45155393053016
IWM,212_bull_continuation,MID,8016,-0.0288595729251617,49.18912175648703
IWM,212_bull_continuation,,44,-2.8697405716856705,43.18181818181818
IWM,212_bull_reversal,HIGH,11670,0.1484774490304402,49.63153384747216
IWM,212_bull_reversal,LOW,11105,0.1826789112231533,50.193606483565965
IWM,212_bull_reversal,MID,11770,0.0751883636625768,50.07646559048429
IWM,212_bull_reversal,,68,-0.4208036929297355,45.588235294117645
IWM,22_bear_continuation,HIGH,54714,0.2140342726549126,50.50261359067149
IWM,22_bear_continuation,LOW,56039,0.2637599418645767,49.54406752440265
IWM,22_bear_continuation,MID,55562,0.2818533242603688,49.91540981246175
IWM,22_bear_continuation,,238,-0.4252152703958243,52.10084033613446
IWM,22_bear_reversal,HIGH,37038,0.166472292902785,50.27809276958799
IWM,22_bear_reversal,LOW,37509,0.0383260979642111,50.18528886400597
IWM,22_bear_reversal,MID,37319,0.1123498863083616,50.00669900050912
IWM,22_bear_reversal,,173,-1.4142695108693883,47.39884393063584
IWM,22_bull_continuation,HIGH,57348,0.0137730120426567,49.43502824858757
IWM,22_bull_continuation,LOW,57192,-0.0666973914918205,49.634564274723736
IWM,22_bull_continuation,MID,57096,-0.1468123161568145,49.05247302788286
IWM,22_bull_continuation,,258,-1.598454225997029,45.73643410852713
IWM,22_bull_reversal,HIGH,37185,0.1107305928631119,50.24606696248487
IWM,22_bull_reversal,LOW,37406,0.0348265820301108,49.70325616211303
IWM,22_bull_reversal,MID,37290,0.0351493555766898,49.21158487530169
IWM,22_bull_reversal,,159,1.028797969249913,55.9748427672956
IWM,312_bear_reversal,HIGH,2238,-0.0211595671108472,49.776586237712245
IWM,312_bear_reversal,LOW,2332,0.257585392025677,49.95711835334477
IWM,312_bear_reversal,MID,2284,0.1311989649804361,50.78809106830122
IWM,312_bull_reversal,HIGH,3063,-0.0681018500276338,50.34280117531832
IWM,312_bull_reversal,LOW,3047,-0.2752257957052864,48.60518542829012
IWM,312_bull_reversal,MID,3008,-0.0296959442277189,48.27127659574468
IWM,322_bear_continuation,HIGH,4243,0.2577286357271289,50.95451331604997
IWM,322_bear_continuation,LOW,4545,0.0686716556536105,49.24092409240924
IWM,322_bear_continuation,MID,4189,0.5515610476903425,50.84745762711864
IWM,322_bull_continuation,HIGH,4269,-0.1898039963766744,48.30171000234247
IWM,322_bull_continuation,LOW,4611,0.1843551635207657,49.59878551290392
IWM,322_bull_continuation,MID,4305,0.2158711305691115,49.732868757259006
IWM,32_bear_reversal,HIGH,982,0.019879649721165,49.18533604887983
IWM,32_bear_reversal,LOW,1075,-0.5576854117528384,50.23255813953489
IWM,32_bear_reversal,MID,980,0.1902830061173434,51.83673469387755
IWM,32_bull_reversal,HIGH,1132,0.0976173945664125,51.41342756183745
IWM,32_bull_reversal,LOW,1213,0.5061650275780075,50.206100577081614
IWM,32_bull_reversal,MID,1198,0.0884495618950068,48.74791318864774
IWM,clean_2d_bear,HIGH,5976,0.2926477160115658,50.50200803212851
IWM,clean_2d_bear,LOW,5934,0.071864701314046,50.64037748567577
IWM,clean_2d_bear,MID,5946,-0.4961544263884437,49.86545576858392
IWM,clean_2u_bull,HIGH,5781,0.0549012088374615,49.66268811624286
IWM,clean_2u_bull,LOW,5937,0.0890017256027455,48.644096344955365
IWM,clean_2u_bull,MID,5809,0.1906138275767367,49.38887932518506
IWM,f2d_bull_reversal,HIGH,1997,0.0910371710737557,49.47421131697546
IWM,f2d_bull_reversal,LOW,2133,-0.4796073174164788,48.61697140178153
IWM,f2d_bull_reversal,MID,1834,0.3606761508821804,49.67284623773173
IWM,f2u_bear_reversal,HIGH,1901,-0.2502681224947757,48.81641241451867
IWM,f2u_bear_reversal,LOW,2146,0.2330741031507198,49.20782851817334
IWM,f2u_bear_reversal,MID,1841,0.1163969926571164,51.65670831070071
IWM,none,HIGH,68843,-0.0345586954290249,49.62886567988031
IWM,none,LOW,67853,0.085064728821915,49.70598204943039
IWM,none,MID,69029,0.0517736302143208,49.418360399252485
IWM,none,,343,-0.3090495552055827,47.23032069970846
QQQ,111_inside_compression,HIGH,500,-0.4358553721525281,49.0
QQQ,111_inside_compression,LOW,270,0.6313037800843598,46.66666666666666
QQQ,111_inside_compression,MID,567,0.3675013374452016,54.673721340388006
QQQ,11_inside_compression,HIGH,5037,0.0935336215028466,50.5261068096089
QQQ,11_inside_compression,LOW,4003,-0.0070537779678706,49.56282787909068
QQQ,11_inside_compression,MID,6110,0.3330994660176576,50.63829787234042
QQQ,132_bear_continuation,HIGH,2550,0.014601362034984,51.84313725490196
QQQ,132_bear_continuation,LOW,2743,0.7658666642251497,51.07546481954065
QQQ,132_bear_continuation,MID,2705,0.8147636074349693,53.60443622920518
QQQ,132_bull_continuation,HIGH,2706,0.1368917319271166,51.40428677014043
QQQ,132_bull_continuation,LOW,2739,-0.0924569406614394,50.93099671412924
QQQ,132_bull_continuation,MID,2626,0.1236755488095769,49.54303122619954
QQQ,212_bear_continuation,HIGH,7390,0.0300687814955843,52.056833558863325
QQQ,212_bear_continuation,LOW,6977,0.2141173201544525,51.182456643256415
QQQ,212_bear_continuation,MID,8186,0.2429066629674818,51.63694111898363
QQQ,212_bear_continuation,,48,0.5036518291086693,47.91666666666667
QQQ,212_bear_reversal,HIGH,11688,0.1705168325746954,51.62559890485968
QQQ,212_bear_reversal,LOW,11429,0.0105117840695694,49.82063172631027
QQQ,212_bear_reversal,MID,12940,0.1487766099498834,50.564142194744974
QQQ,212_bear_reversal,,55,1.3212977481690271,45.45454545454545
QQQ,212_bull_continuation,HIGH,7983,0.0750360413716932,50.51985469121883
QQQ,212_bull_continuation,LOW,7273,-0.0213204011517706,48.70067372473533
QQQ,212_bull_continuation,MID,8885,-0.1483736599789891,49.63421496904896
QQQ,212_bull_continuation,,49,1.9138712531216349,40.81632653061224
QQQ,212_bull_reversal,HIGH,11673,0.138561306458226,51.12653131157372
QQQ,212_bull_reversal,LOW,11263,0.1392510219815146,50.91005948681524
QQQ,212_bull_reversal,MID,12959,0.2129924733932806,50.69063970985416
QQQ,212_bull_reversal,,63,-0.0077631233598711,49.2063492063492
QQQ,22_bear_continuation,HIGH,49312,0.1414915089819491,52.05426670992862
QQQ,22_bear_continuation,LOW,53471,0.391045087228333,50.45538703222307
QQQ,22_bear_continuation,MID,50751,0.2188455587930553,51.299481783610176
QQQ,22_bear_continuation,,218,1.7045280998886163,54.12844036697248
QQQ,22_bear_reversal,HIGH,35976,0.1002917503180547,51.12019123860352
QQQ,22_bear_reversal,LOW,37168,0.0641369567448789,50.30940594059405
QQQ,22_bear_reversal,MID,36982,0.0915937245735396,50.62192417933048
QQQ,22_bear_reversal,,187,1.0727981613636377,52.94117647058824
QQQ,22_bull_continuation,HIGH,55279,-0.0104249105392488,50.773349734980734
QQQ,22_bull_continuation,LOW,55438,-0.0207012028034849,49.74205418665897
QQQ,22_bull_continuation,MID,55481,-0.0789585621108692,49.384473964059765
QQQ,22_bull_continuation,,260,0.9872258287968244,52.30769230769232
QQQ,22_bull_reversal,HIGH,36067,0.0942868669730627,51.054981007569246
QQQ,22_bull_reversal,LOW,37253,-0.0336178246281028,49.96644565538346
QQQ,22_bull_reversal,MID,37030,0.1191506909300202,50.42938158250068
QQQ,22_bull_reversal,,187,0.7698503691672549,52.406417112299465
QQQ,312_bear_reversal,HIGH,2252,0.3047948157958159,51.77619893428064
QQQ,312_bear_reversal,LOW,2240,0.0851437223628515,49.15178571428571
QQQ,312_bear_reversal,MID,2245,0.1532147926490332,50.95768374164811
QQQ,312_bull_reversal,HIGH,3207,-0.2221234959192881,50.17149984409105
QQQ,312_bull_reversal,LOW,3185,-0.7430789193653007,48.35164835164835
QQQ,312_bull_reversal,MID,3143,-0.1322888162324954,49.252306713331215
QQQ,322_bear_continuation,HIGH,3970,0.3292339770478188,52.141057934508815
QQQ,322_bear_continuation,LOW,4778,0.2247395293079602,50.627877773126826
QQQ,322_bear_continuation,MID,3776,0.6963681095583937,52.38347457627118
QQQ,322_bull_continuation,HIGH,4396,0.1827293840062727,50.75068243858053
QQQ,322_bull_continuation,LOW,4863,0.0487485121728797,50.83281924737816
QQQ,322_bull_continuation,MID,4013,-0.0069696231821372,50.21181161226016
QQQ,32_bear_reversal,HIGH,1007,0.0509563653428408,51.340615690168825
QQQ,32_bear_reversal,LOW,1234,-0.2867008526169539,50.32414910858996
QQQ,32_bear_reversal,MID,877,0.9178640428636526,50.51311288483467
QQQ,32_bull_reversal,HIGH,1176,0.3762286080490483,51.19047619047619
QQQ,32_bull_reversal,LOW,1366,-0.9085180685302432,48.90190336749634
QQQ,32_bull_reversal,MID,1083,0.1703778330952763,51.43120960295475
QQQ,clean_2d_bear,HIGH,5760,0.2911784826005044,52.170138888888886
QQQ,clean_2d_bear,LOW,5985,0.4934067745606748,50.25898078529657
QQQ,clean_2d_bear,MID,5848,0.6350135265748931,52.97537619699042
QQQ,clean_2u_bull,HIGH,5761,0.1188904063440557,50.893942023954175
QQQ,clean_2u_bull,LOW,5955,0.3946908545492866,50.51217464315702
QQQ,clean_2u_bull,MID,5951,-0.1836416698863479,48.7313056629138
QQQ,f2d_bull_reversal,HIGH,2088,-0.1802166174829647,51.19731800766284
QQQ,f2d_bull_reversal,LOW,2324,-0.3014338030958683,49.65576592082616
QQQ,f2d_bull_reversal,MID,1933,0.5021492900284964,51.00879461976204
QQQ,f2u_bear_reversal,HIGH,2053,-0.0315385970249849,50.60886507549927
QQQ,f2u_bear_reversal,LOW,2301,0.4052647063256548,50.89091699261191
QQQ,f2u_bear_reversal,MID,1838,-0.0883973347559973,51.305767138193694
QQQ,none,HIGH,68859,0.1028336315796107,51.14218911108207
QQQ,none,LOW,68219,0.1242862609004063,50.12533165247218
QQQ,none,MID,72571,0.1286811968075319,50.64833060037756
QQQ,none,,329,1.36216710929775,55.92705167173252
SPY,111_inside_compression,HIGH,1028,-0.0705221757562297,47.76264591439689
SPY,111_inside_compression,LOW,317,-0.1303616729042061,51.10410094637224
SPY,111_inside_compression,MID,466,0.9350841419264504,54.93562231759657
SPY,11_inside_compression,HIGH,7489,0.0452297997460491,50.3672052343437
SPY,11_inside_compression,LOW,4220,0.249431071566479,50.99526066350711
SPY,11_inside_compression,MID,5198,0.0914593715762339,50.11542901115814
SPY,11_inside_compression,,52,1.0354921444441485,46.15384615384615
SPY,132_bear_continuation,HIGH,2785,0.247328566955884,53.680430879712745
SPY,132_bear_continuation,LOW,2622,0.4550827258520984,50.26697177726926
SPY,132_bear_continuation,MID,2592,0.1563502246692753,50.54012345679012
SPY,132_bull_continuation,HIGH,2862,-0.03611074593936,49.65059399021663
