ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
IWM,11_inside_compression,GEX_HIGH_VEX_HIGH,78,51.28,41.03,61.54,3.64,35.4
IWM,11_inside_compression,GEX_HIGH_VEX_LOW,77,62.34,50.65,72.73,-4.01,60.44
IWM,11_inside_compression,GEX_HIGH_VEX_MID,45,42.22,28.89,57.78,-1.89,46.34
IWM,11_inside_compression,GEX_LOW_VEX_HIGH,40,40.0,23.69,55.0,-4.57,38.89
IWM,11_inside_compression,GEX_LOW_VEX_LOW,79,46.84,35.44,56.96,-13.55,81.43
IWM,11_inside_compression,GEX_LOW_VEX_MID,37,43.24,27.03,56.76,-17.04,58.24
IWM,11_inside_compression,GEX_MID_VEX_HIGH,97,54.64,44.33,63.92,7.09,51.19
IWM,11_inside_compression,GEX_MID_VEX_LOW,41,60.98,46.34,75.61,19.64,68.92
IWM,11_inside_compression,GEX_MID_VEX_MID,71,59.15,46.48,70.42,6.55,47.65
IWM,132_bear_continuation,GEX_HIGH_VEX_HIGH,70,47.14,35.71,58.57,-2.72,42.97
IWM,132_bear_continuation,GEX_HIGH_VEX_LOW,66,48.48,37.08,59.89,-5.25,52.38
IWM,132_bear_continuation,GEX_HIGH_VEX_MID,53,71.7,60.38,84.91,43.72,121.33
IWM,132_bear_continuation,GEX_LOW_VEX_HIGH,37,48.65,32.43,62.16,-4.2,41.43
IWM,132_bear_continuation,GEX_LOW_VEX_LOW,70,50.0,38.57,60.75,2.7,65.29
IWM,132_bear_continuation,GEX_LOW_VEX_MID,55,52.73,38.18,65.45,0.42,76.17
IWM,132_bear_continuation,GEX_MID_VEX_HIGH,61,47.54,35.2,60.66,-5.83,67.12
IWM,132_bear_continuation,GEX_MID_VEX_LOW,33,48.48,33.33,66.67,-3.11,53.42
IWM,132_bear_continuation,GEX_MID_VEX_MID,50,54.0,40.0,70.0,-7.5,70.56
IWM,132_bull_continuation,GEX_HIGH_VEX_HIGH,56,41.07,28.57,55.36,-9.66,52.67
IWM,132_bull_continuation,GEX_HIGH_VEX_LOW,52,36.54,23.08,49.09,-13.44,71.05
IWM,132_bull_continuation,GEX_HIGH_VEX_MID,48,50.0,35.42,66.67,8.16,45.74
IWM,132_bull_continuation,GEX_LOW_VEX_HIGH,34,52.94,35.29,70.59,-0.78,29.07
IWM,132_bull_continuation,GEX_LOW_VEX_LOW,66,60.61,46.97,72.01,15.94,116.7
IWM,132_bull_continuation,GEX_LOW_VEX_MID,57,47.37,33.33,60.57,-9.73,66.95
IWM,132_bull_continuation,GEX_MID_VEX_HIGH,76,53.95,43.42,64.47,5.05,140.44
IWM,132_bull_continuation,GEX_MID_VEX_LOW,37,43.24,28.31,59.46,-2.31,41.63
IWM,132_bull_continuation,GEX_MID_VEX_MID,59,44.07,30.51,57.63,-8.52,52.59
IWM,212_bear_continuation,GEX_HIGH_VEX_HIGH,140,57.86,49.29,65.71,3.64,29.74
IWM,212_bear_continuation,GEX_HIGH_VEX_LOW,156,53.85,45.51,61.54,-0.16,49.98
IWM,212_bear_continuation,GEX_HIGH_VEX_MID,111,59.46,49.55,68.94,8.44,52.71
IWM,212_bear_continuation,GEX_LOW_VEX_HIGH,68,61.76,51.47,73.53,11.41,55.45
IWM,212_bear_continuation,GEX_LOW_VEX_LOW,139,47.48,38.85,54.68,1.78,66.65
IWM,212_bear_continuation,GEX_LOW_VEX_MID,140,43.57,35.0,52.14,-3.38,66.46
IWM,212_bear_continuation,GEX_MID_VEX_HIGH,179,43.02,36.02,50.84,-2.75,54.12
IWM,212_bear_continuation,GEX_MID_VEX_LOW,82,68.29,58.54,78.05,10.79,47.06
IWM,212_bear_continuation,GEX_MID_VEX_MID,148,50.0,42.21,58.11,-2.39,58.54
IWM,212_bear_reversal,GEX_HIGH_VEX_HIGH,230,53.91,47.16,60.0,2.35,45.54
IWM,212_bear_reversal,GEX_HIGH_VEX_LOW,237,48.52,42.62,54.43,-2.29,54.8
IWM,212_bear_reversal,GEX_HIGH_VEX_MID,173,52.6,45.66,58.96,1.07,54.26
IWM,212_bear_reversal,GEX_LOW_VEX_HIGH,142,51.41,42.96,59.15,0.63,40.2
IWM,212_bear_reversal,GEX_LOW_VEX_LOW,266,51.13,45.49,56.96,-3.87,71.33
IWM,212_bear_reversal,GEX_LOW_VEX_MID,247,45.34,39.46,51.42,-8.4,76.9
IWM,212_bear_reversal,GEX_MID_VEX_HIGH,316,52.85,47.47,58.54,2.65,79.66
IWM,212_bear_reversal,GEX_MID_VEX_LOW,112,60.71,51.79,70.11,5.44,52.96
IWM,212_bear_reversal,GEX_MID_VEX_MID,215,53.49,46.51,59.53,3.69,64.44
IWM,212_bull_continuation,GEX_HIGH_VEX_HIGH,199,52.76,45.46,59.06,1.81,47.48
IWM,212_bull_continuation,GEX_HIGH_VEX_LOW,143,44.06,36.36,52.12,-4.57,38.12
IWM,212_bull_continuation,GEX_HIGH_VEX_MID,128,48.44,40.62,57.03,-2.44,51.5
IWM,212_bull_continuation,GEX_LOW_VEX_HIGH,110,48.18,40.0,57.27,-1.86,40.26
IWM,212_bull_continuation,GEX_LOW_VEX_LOW,169,57.4,49.7,65.09,-0.54,59.57
IWM,212_bull_continuation,GEX_LOW_VEX_MID,159,54.72,47.17,62.89,-1.29,67.98
IWM,212_bull_continuation,GEX_MID_VEX_HIGH,218,51.38,45.17,58.26,-0.77,48.39
IWM,212_bull_continuation,GEX_MID_VEX_LOW,83,49.4,38.55,61.45,2.13,55.91
IWM,212_bull_continuation,GEX_MID_VEX_MID,171,58.48,52.05,65.22,1.14,63.7
IWM,212_bull_reversal,GEX_HIGH_VEX_HIGH,265,46.42,40.56,53.21,-6.21,52.49
IWM,212_bull_reversal,GEX_HIGH_VEX_LOW,240,51.25,45.2,57.08,2.8,47.86
IWM,212_bull_reversal,GEX_HIGH_VEX_MID,226,49.12,42.04,55.98,0.41,56.51
IWM,212_bull_reversal,GEX_LOW_VEX_HIGH,123,57.72,49.98,66.28,1.59,42.7
IWM,212_bull_reversal,GEX_LOW_VEX_LOW,272,52.57,46.5,58.09,4.66,74.99
IWM,212_bull_reversal,GEX_LOW_VEX_MID,206,52.91,46.12,59.22,0.96,77.21
IWM,212_bull_reversal,GEX_MID_VEX_HIGH,320,50.62,45.0,55.62,-1.39,77.64
IWM,212_bull_reversal,GEX_MID_VEX_LOW,136,53.68,45.94,61.76,10.65,68.97
IWM,212_bull_reversal,GEX_MID_VEX_MID,222,50.9,44.59,57.21,-4.05,62.24
IWM,22_bear_continuation,GEX_HIGH_VEX_HIGH,1238,56.06,53.19,58.8,3.38,47.09
IWM,22_bear_continuation,GEX_HIGH_VEX_LOW,1338,50.67,47.87,53.59,-1.53,48.08
