fold,model,n_train,n_test,ic,rank_ic,auc,ls_sharpe,ls_mean_bps,ls_win_rate
1,ridge,33767,33768,0.0238,0.0305,0.5142,0.901,2.51,0.476
1,ridge_strong,33767,33768,0.0265,0.035,0.516,0.832,2.31,0.497
1,lasso,33767,33768,0.0261,0.0344,0.5155,0.87,2.42,0.501
1,lasso_sparse,33767,33768,0.0261,0.034,0.5154,1.079,3.0,0.508
1,elasticnet,33767,33768,0.0257,0.0337,0.5155,0.771,2.14,0.49
1,bayes_ridge,33767,33768,0.0255,0.0351,0.5166,-0.123,-0.34,0.48
1,pls5,33767,33768,0.0185,0.0289,0.5143,-2.042,-5.95,0.425
1,pls10,33767,33768,0.0223,0.0284,0.5127,-0.198,-0.51,0.473
1,lgbm,33767,33768,0.0202,0.0336,0.5149,4.328,12.81,0.598
1,lgbm_shallow,33767,33768,0.0204,0.0383,0.5193,3.08,8.92,0.552
2,ridge,67533,33761,0.0385,0.0236,0.5193,1.438,8.31,0.517
2,ridge_strong,67533,33761,0.0375,0.023,0.5191,1.364,7.87,0.52
2,lasso,67533,33761,0.0374,0.0229,0.519,1.348,7.81,0.517
2,lasso_sparse,67533,33761,0.0373,0.0234,0.5192,1.317,7.49,0.508
2,elasticnet,67533,33761,0.0373,0.023,0.519,1.327,7.7,0.52
2,bayes_ridge,67533,33761,0.0367,0.0241,0.519,1.524,8.65,0.524
2,pls5,67533,33761,0.0146,0.0157,0.5118,1.341,6.01,0.564
2,pls10,67533,33761,0.0403,0.0255,0.5181,1.214,6.74,0.515
2,lgbm,67533,33761,0.0266,0.0153,0.5125,2.216,10.39,0.55
2,lgbm_shallow,67533,33761,0.0347,0.0204,0.516,0.62,2.97,0.506
3,ridge,101292,33770,-0.026,-0.0125,0.4935,1.822,7.74,0.55
3,ridge_strong,101292,33770,-0.011,0.0055,0.5012,1.863,7.33,0.54
3,lasso,101292,33770,-0.0111,0.0049,0.5009,1.831,7.2,0.533
3,lasso_sparse,101292,33770,-0.0082,0.0088,0.5032,1.76,6.8,0.54
3,elasticnet,101292,33770,-0.0094,0.0069,0.5019,1.762,6.94,0.54
3,bayes_ridge,101292,33770,-0.0068,0.0107,0.5054,1.3,5.02,0.515
3,pls5,101292,33770,-0.0022,0.0057,0.51,1.481,5.33,0.49
3,pls10,101292,33770,-0.0057,0.0141,0.51,-1.113,-4.17,0.423
3,lgbm,101292,33770,0.0153,0.0104,0.4993,0.09,0.34,0.471
3,lgbm_shallow,101292,33770,0.0101,0.008,0.499,0.91,3.45,0.501
4,ridge,135066,33442,0.0185,0.0184,0.5062,-1.515,-4.23,0.436
4,ridge_strong,135066,33442,0.0182,0.0178,0.5056,-1.484,-4.21,0.439
4,lasso,135066,33442,0.0182,0.0178,0.5055,-1.53,-4.35,0.439
4,lasso_sparse,135066,33442,0.0189,0.019,0.5066,-1.802,-5.03,0.43
4,elasticnet,135066,33442,0.0184,0.0181,0.5058,-1.614,-4.57,0.441
4,bayes_ridge,135066,33442,0.0197,0.0216,0.5088,-2.456,-6.58,0.4
4,pls5,135066,33442,0.0192,0.0251,0.5128,-1.816,-4.41,0.383
4,pls10,135066,33442,0.0156,0.0183,0.5081,-4.122,-10.86,0.346
4,lgbm,135066,33442,0.0144,0.0144,0.5112,0.511,1.61,0.513
4,lgbm_shallow,135066,33442,0.0095,0.012,0.5099,-0.252,-0.75,0.469
5,ridge,168504,27580,0.0612,0.0591,0.528,-0.991,-3.32,0.416
5,ridge_strong,168504,27580,0.0613,0.0587,0.5277,-0.925,-3.1,0.419
5,lasso,168504,27580,0.0612,0.0587,0.5278,-0.97,-3.25,0.419
5,lasso_sparse,168504,27580,0.0612,0.0586,0.5282,-0.84,-2.77,0.422
5,elasticnet,168504,27580,0.0612,0.059,0.528,-0.929,-3.11,0.422
5,bayes_ridge,168504,27580,0.0601,0.0587,0.5298,-1.664,-5.63,0.406
5,pls5,168504,27580,0.0467,0.0454,0.5307,-1.2,-3.97,0.398
5,pls10,168504,27580,0.0559,0.0545,0.5289,-3.226,-11.04,0.35
5,lgbm,168504,27580,0.0384,0.0271,0.5058,-1.465,-5.89,0.401
5,lgbm_shallow,168504,27580,0.0336,0.0232,0.5085,-2.553,-10.28,0.342
