feature,gain
vix_close,256179620.515625
bb_width,70580019.29003906
macd,60697595.81542969
macd_signal,57739986.00488281
total_gex,55797880.052734375
atr_14,54321181.28027344
total_vex,51395104.622558594
price_vs_vwap,48250127.791015625
distance_to_king_pct,47494463.1694336
distance_to_gate_pct,46149551.59667969
obv,45015578.45361328
stoch_rsi_d,44539047.71386719
bb_lower,34961489.80078125
sma_200,33656733.205078125
macd_histogram,30792269.7734375
stoch_rsi_k,25188402.3125
ema_50,23245647.890625
bb_pct,23157235.014404297
price_vs_ema20,22915529.794921875
bb_upper,22165791.48046875
ema_9,20440014.872070312
rsi_14,17312162.7734375
sma_50,17231071.211914062
high_low_spread_pct,15808624.616210938
rvol_10,14484124.09765625
ema_20,13985641.982421877
vwap,12590761.802734377
rvol,11661940.291992188
flip_price,10327458.99609375
rsi_9,9588690.8984375
gex_tercile_MID,9440921.796875
price_vs_ema9,9337408.092773438
intraday_return,7845449.771972656
consecutive_up,7054962.25
dealer_regime_GEX_MID_VEX_HIGH,6061221.0
vex_tercile_LOW,5577605.69921875
dealer_regime_GEX_MID_VEX_MID,5378344.099609375
vex_tercile_MID,3786700.60546875
dealer_regime_GEX_LOW_VEX_MID,1351347.60546875
gex_tercile_LOW,1315523.796875
vex_tercile_HIGH,1205081.3984375
prev_strat_candle_2D,1093167.0
consecutive_down,920249.208984375
dealer_regime_GEX_LOW_VEX_HIGH,844048.3046875
strat_candle_3,843501.798828125
dealer_regime_GEX_MID_VEX_LOW,821043.69921875
gamma_regime_negative_gamma,804997.203125
dealer_regime_GEX_HIGH_VEX_MID,727499.203125
gamma_regime_positive_gamma,689354.896484375
vix_tercile_MID,618180.8984375
