ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
IWM,22_bull_continuation,GEX_HIGH_VEX_HIGH,395,56.46,51.01,61.77,6.51,91.4
IWM,22_bull_continuation,GEX_HIGH_VEX_LOW,344,49.42,44.48,54.07,1.75,92.1
IWM,22_bull_continuation,GEX_HIGH_VEX_MID,280,55.0,48.74,60.71,-0.27,110.74
IWM,22_bull_continuation,GEX_LOW_VEX_HIGH,229,59.83,52.84,65.94,20.43,80.58
IWM,22_bull_continuation,GEX_LOW_VEX_LOW,458,51.53,46.94,56.11,4.54,127.91
IWM,22_bull_continuation,GEX_LOW_VEX_MID,429,51.98,46.85,56.64,-0.08,124.29
IWM,22_bull_continuation,GEX_MID_VEX_HIGH,504,55.56,51.58,59.52,3.8,123.04
IWM,22_bull_continuation,GEX_MID_VEX_LOW,183,55.19,48.63,61.75,10.1,102.07
IWM,22_bull_continuation,GEX_MID_VEX_MID,413,59.08,54.48,63.68,18.36,126.12
IWM,22_bull_reversal,GEX_HIGH_VEX_HIGH,241,47.72,41.91,53.53,-5.36,96.49
IWM,22_bull_reversal,GEX_HIGH_VEX_LOW,230,46.52,40.0,53.04,-4.07,93.89
IWM,22_bull_reversal,GEX_HIGH_VEX_MID,187,50.8,43.85,57.5,3.15,121.42
IWM,22_bull_reversal,GEX_LOW_VEX_HIGH,137,56.2,47.45,63.5,8.91,82.17
IWM,22_bull_reversal,GEX_LOW_VEX_LOW,323,50.15,44.58,55.42,-1.63,145.97
IWM,22_bull_reversal,GEX_LOW_VEX_MID,272,50.37,44.66,55.71,0.71,140.91
IWM,22_bull_reversal,GEX_MID_VEX_HIGH,338,53.55,48.37,58.58,-0.03,152.31
IWM,22_bull_reversal,GEX_MID_VEX_LOW,139,46.04,37.75,53.96,-11.56,115.22
IWM,22_bull_reversal,GEX_MID_VEX_MID,254,53.54,47.43,59.45,9.93,120.04
IWM,322_bear_continuation,GEX_HIGH_VEX_HIGH,30,50.0,33.33,66.67,14.67,90.91
IWM,322_bear_continuation,GEX_HIGH_VEX_LOW,39,41.03,28.21,56.41,-20.21,88.96
IWM,322_bear_continuation,GEX_LOW_VEX_LOW,36,52.78,37.43,69.44,5.35,74.84
IWM,322_bear_continuation,GEX_MID_VEX_HIGH,42,52.38,35.71,66.67,8.84,95.83
IWM,322_bear_continuation,GEX_MID_VEX_MID,42,40.48,23.81,57.14,-44.77,103.63
IWM,322_bull_continuation,GEX_HIGH_VEX_HIGH,41,48.78,32.87,63.41,4.13,64.41
IWM,322_bull_continuation,GEX_HIGH_VEX_LOW,38,52.63,36.84,68.42,5.32,91.93
IWM,322_bull_continuation,GEX_HIGH_VEX_MID,34,52.94,35.29,69.19,-0.14,94.68
IWM,322_bull_continuation,GEX_LOW_VEX_LOW,50,58.0,44.95,72.0,-6.37,121.37
IWM,322_bull_continuation,GEX_LOW_VEX_MID,46,56.52,43.48,69.57,21.89,117.14
IWM,322_bull_continuation,GEX_MID_VEX_HIGH,49,57.14,40.82,71.43,23.92,127.95
IWM,322_bull_continuation,GEX_MID_VEX_MID,37,54.05,37.84,70.27,8.99,105.13
IWM,clean_2d_bear,GEX_HIGH_VEX_HIGH,43,62.79,48.84,76.74,27.9,110.47
IWM,clean_2d_bear,GEX_HIGH_VEX_LOW,55,58.18,44.5,69.09,2.22,85.92
IWM,clean_2d_bear,GEX_HIGH_VEX_MID,31,58.06,38.71,74.19,21.17,166.77
IWM,clean_2d_bear,GEX_LOW_VEX_LOW,49,51.02,38.78,65.31,17.15,157.12
IWM,clean_2d_bear,GEX_MID_VEX_HIGH,45,40.0,25.5,55.56,-18.48,114.29
IWM,clean_2d_bear,GEX_MID_VEX_MID,46,56.52,41.3,69.57,-23.65,117.27
IWM,clean_2u_bull,GEX_HIGH_VEX_HIGH,43,39.53,26.69,53.49,-26.09,87.78
IWM,clean_2u_bull,GEX_HIGH_VEX_LOW,40,57.5,40.0,70.0,-1.81,66.83
IWM,clean_2u_bull,GEX_HIGH_VEX_MID,40,50.0,35.0,65.0,14.54,94.12
IWM,clean_2u_bull,GEX_LOW_VEX_LOW,59,54.24,42.37,66.99,-0.79,101.54
IWM,clean_2u_bull,GEX_LOW_VEX_MID,45,60.0,45.5,75.56,1.89,150.21
IWM,clean_2u_bull,GEX_MID_VEX_HIGH,53,45.28,32.08,60.38,2.02,150.04
IWM,clean_2u_bull,GEX_MID_VEX_MID,49,65.31,53.06,79.59,38.3,122.6
IWM,f2u_bear_reversal,GEX_MID_VEX_MID,30,53.33,36.67,73.33,27.69,110.73
IWM,none,GEX_HIGH_VEX_HIGH,444,52.03,47.3,56.98,-3.05,91.31
IWM,none,GEX_HIGH_VEX_LOW,484,48.14,43.6,52.9,-6.74,96.6
IWM,none,GEX_HIGH_VEX_MID,370,55.95,50.81,60.54,10.8,113.19
IWM,none,GEX_LOW_VEX_HIGH,220,54.55,48.4,61.36,4.74,86.35
IWM,none,GEX_LOW_VEX_LOW,494,52.43,48.27,56.88,12.47,129.14
IWM,none,GEX_LOW_VEX_MID,437,51.95,47.37,56.29,-3.54,143.52
IWM,none,GEX_MID_VEX_HIGH,514,49.22,44.36,53.7,-1.3,137.56
IWM,none,GEX_MID_VEX_LOW,259,52.51,46.52,57.92,9.25,117.19
IWM,none,GEX_MID_VEX_MID,415,54.94,50.23,58.8,6.84,118.59
QQQ,11_inside_compression,GEX_MID_VEX_HIGH,36,61.11,44.44,77.78,11.16,69.18
QQQ,212_bear_continuation,GEX_HIGH_VEX_HIGH,30,70.0,54.92,86.67,14.28,50.61
QQQ,212_bear_continuation,GEX_HIGH_VEX_LOW,55,52.73,38.18,65.45,0.1,109.41
QQQ,212_bear_continuation,GEX_LOW_VEX_LOW,35,51.43,37.14,68.57,-3.17,125.05
