ticker,prev_strat_candle,strat_candle,n,mean_bps,std_bps,hit_pct
IWM,1,1,2059,0.5812610012735351,29.78096531677131,51.62700339970859
IWM,1,2D,10563,0.4950650572883344,33.95719252850625,51.76559689482154
IWM,1,2U,11030,-0.1676639671907416,32.57404555413936,51.359927470534906
IWM,1,3,3971,1.4613081627924125,34.77328129134402,52.63157894736842
IWM,2D,1,10874,0.3058353568706476,34.04494231603265,51.80246459444546
IWM,2D,2D,36653,0.737284324663927,37.4565261139408,51.35186751425531
IWM,2D,2U,23246,0.1691002880180737,38.06619838552032,51.0281338724942
IWM,2D,3,6342,0.329417835943007,39.53070058378346,50.53610848312835
IWM,2U,1,11029,0.0878454730419936,34.442244312782094,51.55499138634509
IWM,2U,2D,23295,0.2895522792226901,37.14967482230313,51.55183515775917
IWM,2U,2U,39270,0.0051224562919971,38.99035281361903,50.78686019862491
IWM,2U,3,6740,0.2270622727396032,37.98250976995388,51.33531157270029
IWM,3,1,3661,1.439053934405034,39.60877242172852,52.22616771373941
IWM,3,2D,6605,1.3725726504050355,37.78083964386949,52.44511733535201
IWM,3,2U,6787,-0.5113354750401732,40.331846239298926,50.08103727714749
IWM,3,3,687,1.0348961709900109,39.778898333649735,51.96506550218341
IWM,X,2U,1,-56.91712251641291,,0.0
QQQ,1,1,72,1.448054343407457,33.2228207796985,56.94444444444444
QQQ,1,2D,410,1.4237506913060043,30.964431479791774,52.6829268292683
QQQ,1,2U,421,-1.1394339772216011,26.982265140280635,49.4061757719715
QQQ,1,3,169,3.288597509829685,28.677643300345547,56.80473372781065
QQQ,2D,1,419,0.9181440120235056,28.192484722821025,51.3126491646778
QQQ,2D,2D,1504,0.7937508586922107,30.144581256984896,52.79255319148937
QQQ,2D,2U,981,0.1137300916142618,31.67447129345833,51.27420998980632
QQQ,2D,3,290,2.5054477971428653,32.6519358180716,53.44827586206896
QQQ,2U,1,411,-0.5827120492613231,25.053685647773506,52.55474452554745
QQQ,2U,2D,997,-0.6643839948875059,29.964748461556837,50.95285857572718
QQQ,2U,2U,1697,0.609433455728597,32.07972019752893,52.03299941072481
QQQ,2U,3,279,2.8480823387720977,29.026446269451952,51.61290322580645
QQQ,3,1,170,-0.28385481040897,29.51604945617009,50.0
QQQ,3,2D,283,5.856780034659114,36.61099268724388,55.12367491166078
QQQ,3,2U,285,1.468830135325286,30.13875679820763,51.92982456140351
QQQ,3,3,29,18.58241680334519,42.59972193993556,75.86206896551724
QQQ,X,2D,1,-24.46029541724458,,0.0
SPY,1,1,2118,0.4392234574273611,18.994235281005302,54.6742209631728
SPY,1,2D,10462,1.0599060318345104,24.75566553944894,54.138787994647295
SPY,1,2U,11503,-0.0689523399448609,23.4632329646838,52.160306007128575
SPY,1,3,4360,0.5105787731494469,24.31203455006448,52.752293577981646
SPY,2D,1,10876,0.3608638784664573,23.46413036603332,52.68481059212946
SPY,2D,2D,33775,0.630042593343518,28.268265860451567,52.45299777942265
SPY,2D,2U,22509,0.1462155767290667,27.078287084896196,52.21466968768048
SPY,2D,3,6272,0.9484632257660413,33.41663883486247,53.63520408163265
SPY,2U,1,11540,0.3886789427644782,24.90914019585288,52.201039861351816
SPY,2U,2D,22484,0.3372835691454677,27.62559140506536,52.52624088240526
SPY,2U,2U,38195,0.1375714361919554,27.880628040703236,52.582798795653886
SPY,2U,3,6878,0.6838099398263722,28.297829717022115,53.256760686246
SPY,3,1,3908,0.3599196244198818,30.77587450316213,53.04503582395087
SPY,3,2D,6712,0.5809341493369848,29.963178979749188,52.16030989272944
SPY,3,2U,6890,0.8101380651007082,30.511782782256567,52.01741654571843
SPY,3,3,716,0.8597862373585256,31.325088131273745,55.58659217877096
SPY,X,1,1,-37.95481401788401,,0.0
