ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
IWM,11_inside_compression,GEX_HIGH_VEX_HIGH,45,55.56,40.0,71.11,5.87,49.4
IWM,11_inside_compression,GEX_HIGH_VEX_LOW,54,48.15,34.21,61.11,-8.33,55.54
IWM,11_inside_compression,GEX_HIGH_VEX_MID,47,53.19,40.43,65.96,-7.35,68.17
IWM,11_inside_compression,GEX_LOW_VEX_LOW,44,52.27,36.36,68.18,-0.9,79.42
IWM,11_inside_compression,GEX_LOW_VEX_MID,31,45.16,29.03,61.29,-14.48,86.28
IWM,11_inside_compression,GEX_MID_VEX_HIGH,47,57.45,44.68,72.34,14.61,70.87
IWM,11_inside_compression,GEX_MID_VEX_LOW,30,60.0,43.33,76.67,13.07,78.74
IWM,11_inside_compression,GEX_MID_VEX_MID,39,46.15,28.21,61.54,0.85,110.3
IWM,132_bear_continuation,GEX_HIGH_VEX_LOW,34,44.12,26.47,61.76,-9.51,62.69
IWM,132_bear_continuation,GEX_LOW_VEX_LOW,32,75.0,59.38,87.5,57.32,112.6
IWM,132_bear_continuation,GEX_MID_VEX_HIGH,36,58.33,41.67,75.0,15.96,99.95
IWM,132_bear_continuation,GEX_MID_VEX_MID,30,50.0,30.0,66.67,8.51,78.43
IWM,132_bull_continuation,GEX_HIGH_VEX_HIGH,33,60.61,45.45,75.76,21.64,60.9
IWM,132_bull_continuation,GEX_HIGH_VEX_LOW,42,45.24,30.95,59.52,2.03,76.89
IWM,132_bull_continuation,GEX_LOW_VEX_LOW,36,58.33,42.99,75.0,-8.52,64.18
IWM,132_bull_continuation,GEX_LOW_VEX_MID,41,53.66,39.02,68.29,12.42,91.73
IWM,132_bull_continuation,GEX_MID_VEX_HIGH,31,58.06,41.94,74.19,27.39,85.0
IWM,212_bear_continuation,GEX_HIGH_VEX_HIGH,61,60.66,49.18,72.13,2.41,64.16
IWM,212_bear_continuation,GEX_HIGH_VEX_LOW,91,51.65,41.76,61.54,4.09,56.96
IWM,212_bear_continuation,GEX_HIGH_VEX_MID,54,53.7,39.77,67.64,-3.06,74.59
IWM,212_bear_continuation,GEX_LOW_VEX_HIGH,34,52.94,35.29,70.59,1.21,78.46
IWM,212_bear_continuation,GEX_LOW_VEX_LOW,75,53.33,41.33,65.33,-9.16,122.25
IWM,212_bear_continuation,GEX_LOW_VEX_MID,66,53.03,40.91,65.15,3.54,125.21
IWM,212_bear_continuation,GEX_MID_VEX_HIGH,95,55.79,45.26,65.26,-6.82,84.13
IWM,212_bear_continuation,GEX_MID_VEX_LOW,39,66.67,51.28,82.05,25.38,70.87
IWM,212_bear_continuation,GEX_MID_VEX_MID,59,54.24,40.68,66.1,6.73,98.17
IWM,212_bear_reversal,GEX_HIGH_VEX_HIGH,113,49.56,40.71,58.41,-3.63,51.77
IWM,212_bear_reversal,GEX_HIGH_VEX_LOW,119,57.98,48.74,67.67,6.25,62.51
IWM,212_bear_reversal,GEX_HIGH_VEX_MID,96,59.38,47.92,68.75,8.18,102.07
IWM,212_bear_reversal,GEX_LOW_VEX_HIGH,59,50.85,37.29,62.71,3.05,57.8
IWM,212_bear_reversal,GEX_LOW_VEX_LOW,137,54.01,45.6,62.04,1.02,107.4
IWM,212_bear_reversal,GEX_LOW_VEX_MID,116,51.72,43.1,61.21,-0.78,101.88
IWM,212_bear_reversal,GEX_MID_VEX_HIGH,156,47.44,39.74,55.13,-0.95,105.26
IWM,212_bear_reversal,GEX_MID_VEX_LOW,57,56.14,42.11,68.42,17.27,90.84
IWM,212_bear_reversal,GEX_MID_VEX_MID,123,55.28,46.34,63.03,5.49,95.88
IWM,212_bull_continuation,GEX_HIGH_VEX_HIGH,94,52.13,42.55,62.77,1.54,54.85
IWM,212_bull_continuation,GEX_HIGH_VEX_LOW,79,55.7,44.91,65.82,6.24,67.61
IWM,212_bull_continuation,GEX_HIGH_VEX_MID,76,59.21,48.68,69.74,8.26,52.88
IWM,212_bull_continuation,GEX_LOW_VEX_HIGH,45,57.78,44.44,73.33,8.37,55.57
IWM,212_bull_continuation,GEX_LOW_VEX_LOW,94,58.51,48.94,69.15,8.53,78.17
IWM,212_bull_continuation,GEX_LOW_VEX_MID,74,51.35,40.54,62.16,0.44,83.02
