ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
IWM,11_inside_compression,GEX_HIGH_VEX_HIGH,304,52.63,47.37,57.74,0.18,22.75
IWM,11_inside_compression,GEX_HIGH_VEX_LOW,230,51.74,45.65,58.26,0.81,22.49
IWM,11_inside_compression,GEX_HIGH_VEX_MID,184,46.74,39.13,53.8,0.02,30.5
IWM,11_inside_compression,GEX_LOW_VEX_HIGH,156,51.28,43.59,59.31,-0.66,19.92
IWM,11_inside_compression,GEX_LOW_VEX_LOW,246,48.37,42.28,55.28,-3.24,28.84
IWM,11_inside_compression,GEX_LOW_VEX_MID,202,51.98,45.05,58.42,3.38,46.63
IWM,11_inside_compression,GEX_MID_VEX_HIGH,311,52.73,47.1,57.88,1.5,30.46
IWM,11_inside_compression,GEX_MID_VEX_LOW,124,58.06,50.0,66.94,6.56,33.99
IWM,11_inside_compression,GEX_MID_VEX_MID,197,50.76,43.65,57.36,-2.24,28.51
IWM,132_bear_continuation,GEX_HIGH_VEX_HIGH,182,56.04,49.45,63.19,2.88,28.27
IWM,132_bear_continuation,GEX_HIGH_VEX_LOW,201,54.73,48.26,60.7,5.91,34.5
IWM,132_bear_continuation,GEX_HIGH_VEX_MID,131,51.15,43.51,59.54,2.15,39.59
IWM,132_bear_continuation,GEX_LOW_VEX_HIGH,102,58.82,49.02,67.65,2.5,20.2
IWM,132_bear_continuation,GEX_LOW_VEX_LOW,193,48.19,40.93,54.92,-3.46,37.89
IWM,132_bear_continuation,GEX_LOW_VEX_MID,161,46.58,39.13,54.04,-0.95,39.84
IWM,132_bear_continuation,GEX_MID_VEX_HIGH,213,50.7,44.13,57.75,-2.95,34.77
IWM,132_bear_continuation,GEX_MID_VEX_LOW,94,53.19,43.06,63.32,2.92,33.72
IWM,132_bear_continuation,GEX_MID_VEX_MID,151,53.64,45.7,61.59,-0.48,38.16
IWM,132_bull_continuation,GEX_HIGH_VEX_HIGH,186,51.61,44.62,59.14,-1.71,39.84
IWM,132_bull_continuation,GEX_HIGH_VEX_LOW,169,50.89,43.79,58.58,0.86,29.28
IWM,132_bull_continuation,GEX_HIGH_VEX_MID,137,51.82,43.8,60.24,-2.44,28.07
IWM,132_bull_continuation,GEX_LOW_VEX_HIGH,112,58.04,50.0,67.43,4.18,22.95
IWM,132_bull_continuation,GEX_LOW_VEX_LOW,221,47.06,40.72,54.08,-1.39,48.18
IWM,132_bull_continuation,GEX_LOW_VEX_MID,217,54.84,48.39,60.83,3.98,39.14
IWM,132_bull_continuation,GEX_MID_VEX_HIGH,244,51.64,44.67,57.59,-1.25,31.21
IWM,132_bull_continuation,GEX_MID_VEX_LOW,104,56.73,47.12,66.35,8.31,51.2
IWM,132_bull_continuation,GEX_MID_VEX_MID,181,49.72,41.99,55.8,-3.09,40.02
IWM,212_bear_continuation,GEX_HIGH_VEX_HIGH,434,50.23,45.62,55.07,-0.66,27.3
IWM,212_bear_continuation,GEX_HIGH_VEX_LOW,467,50.96,46.47,55.67,-1.56,27.38
IWM,212_bear_continuation,GEX_HIGH_VEX_MID,359,49.3,44.29,54.74,-2.86,42.51
IWM,212_bear_continuation,GEX_LOW_VEX_HIGH,238,55.88,49.78,61.34,2.31,20.79
IWM,212_bear_continuation,GEX_LOW_VEX_LOW,543,48.62,44.47,52.85,0.72,38.29
IWM,212_bear_continuation,GEX_LOW_VEX_MID,422,49.05,43.84,53.79,-1.44,41.34
IWM,212_bear_continuation,GEX_MID_VEX_HIGH,606,53.47,49.83,57.26,2.5,32.26
IWM,212_bear_continuation,GEX_MID_VEX_LOW,255,57.65,51.56,63.92,2.45,26.16
IWM,212_bear_continuation,GEX_MID_VEX_MID,421,54.63,49.88,59.03,2.03,33.02
IWM,212_bear_reversal,GEX_HIGH_VEX_HIGH,779,51.6,48.27,54.75,1.02,29.52
IWM,212_bear_reversal,GEX_HIGH_VEX_LOW,691,49.06,45.59,52.97,-1.61,25.74
IWM,212_bear_reversal,GEX_HIGH_VEX_MID,557,52.78,48.29,57.09,3.41,39.97
IWM,212_bear_reversal,GEX_LOW_VEX_HIGH,466,51.29,47.1,55.58,2.92,23.87
IWM,212_bear_reversal,GEX_LOW_VEX_LOW,835,48.74,45.21,52.34,-1.88,34.2
IWM,212_bear_reversal,GEX_LOW_VEX_MID,754,49.6,46.08,53.32,-0.06,34.72
IWM,212_bear_reversal,GEX_MID_VEX_HIGH,1059,52.41,49.67,55.76,0.92,34.04
IWM,212_bear_reversal,GEX_MID_VEX_LOW,391,55.5,51.02,60.61,0.72,35.67
IWM,212_bear_reversal,GEX_MID_VEX_MID,713,55.12,51.61,58.63,-0.24,34.77
IWM,212_bull_continuation,GEX_HIGH_VEX_HIGH,527,54.46,50.09,58.63,0.39,23.48
IWM,212_bull_continuation,GEX_HIGH_VEX_LOW,462,50.43,46.1,54.98,-1.07,30.11
IWM,212_bull_continuation,GEX_HIGH_VEX_MID,371,52.29,47.3,57.41,0.35,26.86
