ticker,strat_combo,feature,n,pearson,spearman
IWM,111_inside_compression,rsi_9,1359,0.0324,0.0523
IWM,111_inside_compression,rsi_14,1359,0.0346,0.0561
IWM,111_inside_compression,stoch_rsi_k,1359,0.003,0.0216
IWM,111_inside_compression,stoch_rsi_d,1359,0.0063,0.0287
IWM,111_inside_compression,ema_9,1359,-0.0057,0.069
IWM,111_inside_compression,ema_20,1359,-0.0057,0.0687
IWM,111_inside_compression,ema_50,1359,-0.0057,0.0685
IWM,111_inside_compression,sma_50,1359,-0.0058,0.0681
IWM,111_inside_compression,sma_200,1359,-0.0051,0.069
IWM,111_inside_compression,macd,1359,-0.0011,0.0778
IWM,111_inside_compression,macd_signal,1359,0.0205,0.0676
IWM,111_inside_compression,macd_histogram,1359,-0.0456,0.0436
IWM,111_inside_compression,atr_14,1359,-0.013,0.0626
IWM,111_inside_compression,bb_upper,1359,-0.0061,0.0682
IWM,111_inside_compression,bb_lower,1359,-0.0051,0.0695
IWM,111_inside_compression,bb_width,1359,-0.053,0.0306
IWM,111_inside_compression,bb_pct,1359,0.0331,0.0427
IWM,111_inside_compression,obv,1359,-0.0113,0.0307
IWM,111_inside_compression,rvol,1359,0.0061,0.0328
IWM,111_inside_compression,rvol_10,1359,0.0054,0.0138
IWM,111_inside_compression,vwap,1359,-0.0051,0.0687
IWM,111_inside_compression,price_vs_vwap,1359,-0.0265,0.0227
IWM,111_inside_compression,price_vs_ema9,1359,-0.0216,0.0524
IWM,111_inside_compression,price_vs_ema20,1359,-0.0049,0.0679
IWM,111_inside_compression,consecutive_up,1359,0.0211,-0.0071
IWM,111_inside_compression,consecutive_down,1359,-0.0117,0.0294
IWM,111_inside_compression,intraday_return,1359,-0.0146,-0.0257
IWM,111_inside_compression,high_low_spread_pct,1359,-0.0431,0.0546
IWM,111_inside_compression,vix_close,1359,0.1082,0.0561
IWM,111_inside_compression,total_gex,1359,0.0281,0.0016
IWM,111_inside_compression,total_vex,1359,0.0034,-0.0587
IWM,111_inside_compression,flip_price,352,-0.0224,-0.0115
IWM,111_inside_compression,distance_to_king_pct,1359,-0.0139,0.0491
IWM,111_inside_compression,distance_to_gate_pct,1314,-0.0465,0.0196
IWM,11_inside_compression,rsi_9,14899,-0.0008,-0.0126
IWM,11_inside_compression,rsi_14,14899,-0.0011,-0.0135
IWM,11_inside_compression,stoch_rsi_k,14899,-0.0041,-0.0078
IWM,11_inside_compression,stoch_rsi_d,14899,-0.0035,-0.0077
IWM,11_inside_compression,ema_9,14899,-0.0068,0.0062
IWM,11_inside_compression,ema_20,14899,-0.0068,0.0062
IWM,11_inside_compression,ema_50,14898,-0.0066,0.0065
IWM,11_inside_compression,sma_50,14898,-0.0067,0.0065
IWM,11_inside_compression,sma_200,14898,-0.0063,0.0066
IWM,11_inside_compression,macd,14899,0.0118,-0.0051
IWM,11_inside_compression,macd_signal,14899,0.0144,-0.0013
IWM,11_inside_compression,macd_histogram,14899,-0.0051,-0.0055
IWM,11_inside_compression,atr_14,14899,-0.0088,0.017
IWM,11_inside_compression,bb_upper,14899,-0.007,0.0062
IWM,11_inside_compression,bb_lower,14899,-0.0067,0.0064
IWM,11_inside_compression,bb_width,14899,-0.0236,0.0156
IWM,11_inside_compression,bb_pct,14899,-0.0044,-0.0142
IWM,11_inside_compression,obv,14899,-0.0039,0.0035
IWM,11_inside_compression,rvol,14899,0.0197,0.009
IWM,11_inside_compression,rvol_10,14899,0.0078,0.0079
IWM,11_inside_compression,vwap,14899,-0.0067,0.006
IWM,11_inside_compression,price_vs_vwap,14899,-0.0069,0.0148
IWM,11_inside_compression,price_vs_ema9,14899,0.0015,-0.0057
IWM,11_inside_compression,price_vs_ema20,14899,0.0147,-0.0094
IWM,11_inside_compression,consecutive_up,14899,0.0028,0.0113
