model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0235,0.0385,0.0104,0.5024,2.5912,12.766,0.548
elasticnet,0.0254,0.0416,0.014,0.5042,2.4898,12.114,0.5442
lasso,0.0254,0.0424,0.0137,0.5042,2.5194,12.252,0.546
lasso_sparse,0.0253,0.0419,0.0135,0.504,2.522,12.342,0.545
lgbm,0.0351,0.0324,0.0138,0.5008,1.4168,6.472,0.5146
lgbm_shallow,0.032,0.0434,0.0076,0.4996,1.267,5.884,0.4944
pls10,0.0213,0.0402,0.0092,0.5013,2.627,13.222,0.5452
pls5,0.0163,0.0317,0.0043,0.4978,2.0444,11.306,0.5282
ridge,0.0262,0.0444,0.0147,0.5049,2.5756,12.52,0.5468
ridge_strong,0.0256,0.0419,0.0145,0.5045,2.4442,11.962,0.5416
