ticker,strat_combo,vix_tercile,n,mean_bps,hit_pct
IWM,11_inside_compression,HIGH,94,5.839946247666585,51.06382978723404
IWM,11_inside_compression,LOW,137,-0.9829707977719662,48.17518248175183
IWM,11_inside_compression,MID,132,1.2284857046543056,56.060606060606055
IWM,132_bear_continuation,HIGH,74,19.47918583094464,54.054054054054056
IWM,132_bear_continuation,LOW,71,3.209379570329424,54.929577464788736
IWM,132_bear_continuation,MID,79,3.673086297296381,55.69620253164557
IWM,132_bull_continuation,HIGH,87,15.756640379448577,55.172413793103445
IWM,132_bull_continuation,LOW,85,6.901012266052599,54.11764705882353
IWM,132_bull_continuation,MID,92,9.187493184709435,59.78260869565217
IWM,212_bear_continuation,HIGH,189,-7.2345897220829425,51.32275132275132
IWM,212_bear_continuation,LOW,197,5.970582797571785,59.89847715736041
IWM,212_bear_continuation,MID,190,4.65594815754494,54.21052631578947
IWM,212_bear_reversal,HIGH,316,0.7616237071021354,51.89873417721519
IWM,212_bear_reversal,LOW,335,8.757553871694501,54.92537313432836
IWM,212_bear_reversal,MID,326,-0.9559726332187856,53.06748466257669
IWM,212_bull_continuation,HIGH,208,4.384490617721569,56.730769230769226
IWM,212_bull_continuation,LOW,255,3.6377520150207294,56.47058823529412
IWM,212_bull_continuation,MID,220,5.705277224164156,57.72727272727273
IWM,212_bull_reversal,HIGH,343,2.099901092599953,51.02040816326531
IWM,212_bull_reversal,LOW,370,2.4604578350452724,50.54054054054053
IWM,212_bull_reversal,MID,365,5.240965884831248,55.89041095890411
IWM,22_bear_continuation,HIGH,1972,5.20991148489531,50.65922920892495
IWM,22_bear_continuation,LOW,1481,6.589133892763743,56.04321404456448
IWM,22_bear_continuation,MID,1652,0.0571012560530275,50.12106537530266
IWM,22_bear_reversal,HIGH,1365,1.768589077889684,51.42857142857142
IWM,22_bear_reversal,LOW,1278,3.859278168284257,53.990610328638496
IWM,22_bear_reversal,MID,1338,2.217223693614438,52.242152466367706
IWM,22_bull_continuation,HIGH,1938,0.8336629277955662,52.1671826625387
IWM,22_bull_continuation,LOW,1995,2.860110219545428,52.38095238095239
IWM,22_bull_continuation,MID,2101,1.225224475767005,51.78486435030938
IWM,22_bull_reversal,HIGH,1365,-4.487063226370195,50.03663003663004
IWM,22_bull_reversal,LOW,1257,5.230040064452628,53.301511535401744
IWM,22_bull_reversal,MID,1318,-0.6123504556781442,50.60698027314112
IWM,312_bear_reversal,HIGH,63,-27.0915424741616,41.26984126984127
IWM,312_bear_reversal,LOW,66,2.2807009000449963,53.03030303030303
IWM,312_bear_reversal,MID,68,-8.885013525521376,48.52941176470589
IWM,312_bull_reversal,HIGH,101,-30.68263134177584,40.5940594059406
IWM,312_bull_reversal,LOW,115,1.5403272395538654,51.30434782608696
IWM,312_bull_reversal,MID,107,13.281589944618649,55.140186915887845
IWM,322_bear_continuation,HIGH,198,2.5522902366798963,54.04040404040404
IWM,322_bear_continuation,LOW,150,-1.4936003701445326,48.66666666666667
IWM,322_bear_continuation,MID,174,5.63857666415006,53.44827586206896
IWM,322_bull_continuation,HIGH,206,-0.4214077140113502,49.51456310679612
IWM,322_bull_continuation,LOW,191,4.400668654043937,50.78534031413613
IWM,322_bull_continuation,MID,194,9.705890563439576,56.70103092783505
IWM,32_bear_reversal,HIGH,64,2.701995599278448,65.625
IWM,32_bear_reversal,LOW,56,2.256022515520145,60.71428571428571
IWM,32_bear_reversal,MID,56,3.53369326679104,50.0
IWM,32_bull_reversal,HIGH,66,8.908208189290955,57.57575757575758
IWM,32_bull_reversal,LOW,62,-0.611186365500009,54.83870967741935
IWM,32_bull_reversal,MID,63,0.8487439815899858,46.03174603174603
IWM,clean_2d_bear,HIGH,241,-1.42834513108177,47.71784232365145
IWM,clean_2d_bear,LOW,208,1.631722322671838,48.07692307692308
IWM,clean_2d_bear,MID,197,8.142359051818323,52.79187817258884
