ticker,prev_strat_candle,strat_candle,n,mean_bps,std_bps,hit_pct
IWM,1,1,279,8.012772435883546,96.54344193203488,56.63082437275986
IWM,1,2D,868,8.02121909096552,114.57805773213148,52.30414746543779
IWM,1,2U,1004,0.1022179405431177,108.05777102635255,50.49800796812749
IWM,1,3,335,13.078291479176192,117.58933509655296,57.3134328358209
IWM,2D,1,1014,8.200269781686483,109.74365556244294,53.9447731755424
IWM,2D,2D,2874,2.5661709644044235,124.1958406784228,51.32219902574808
IWM,2D,2U,2125,0.0228610505622072,125.7968026502922,50.68235294117647
IWM,2D,3,579,-5.230490189285856,131.5877254850381,50.77720207253886
IWM,2U,1,910,2.924237656464016,118.66325366985411,51.42857142857142
IWM,2U,2D,2212,4.42771920559396,126.28084229713838,51.67269439421338
IWM,2U,2U,3567,6.608246156466339,113.38772746506342,54.58368376787216
IWM,2U,3,717,-0.3428629440574088,124.35729721870388,51.46443514644351
IWM,3,1,283,6.828575177899948,104.94500666589286,49.46996466431096
IWM,3,2D,638,-2.4809617298135893,115.97380859633752,51.72413793103448
IWM,3,2U,710,5.415085399442769,113.65615080768264,53.94366197183098
IWM,3,3,99,5.621760287230641,114.87904380656651,58.58585858585859
IWM,X,2D,1,42.9092936286802,,100.0
QQQ,1,1,181,12.532096639781336,105.79210357376871,57.4585635359116
QQQ,1,2D,830,14.60962820281438,111.75075114570828,58.07228915662651
QQQ,1,2U,988,6.384070314322608,108.90307593527348,56.78137651821862
QQQ,1,3,281,13.506019674217308,105.69552145761368,59.7864768683274
QQQ,2D,1,895,5.964487072092557,117.19285106170442,57.20670391061452
QQQ,2D,2D,2636,7.078789963924982,124.71842841510788,54.5144157814871
QQQ,2D,2U,2207,4.718642156008982,110.72046823843957,55.68645219755324
QQQ,2D,3,494,8.849449435990579,124.53304479915798,57.692307692307686
QQQ,2U,1,917,12.579059638928047,105.3762578453128,59.10577971646674
QQQ,2U,2D,2188,3.004224216856429,109.53034681430816,54.981718464351005
QQQ,2U,2U,3973,3.861964304068711,99.8645208171892,57.06015605336018
QQQ,2U,3,771,3.3651048931335423,108.3869639284063,56.54993514915694
QQQ,3,1,287,-2.0781549085613613,101.54594107694544,51.21951219512195
QQQ,3,2D,578,2.125925075963202,115.11236461941952,56.22837370242214
QQQ,3,2U,681,11.709557424868358,97.79640420265792,59.76505139500734
QQQ,3,3,70,14.387298459283352,82.63760501598232,61.42857142857143
QQQ,X,2D,1,104.19321157627384,,100.0
SPY,1,1,168,9.77291368014049,92.48622777746152,55.35714285714286
SPY,1,2D,733,8.354414309380179,87.88036799937431,57.2987721691678
SPY,1,2U,933,5.142706997773666,78.93087035932585,54.98392282958199
SPY,1,3,326,12.01599856956273,103.06284070057724,57.05521472392638
SPY,2D,1,817,5.255086718625922,88.96429005740198,55.81395348837209
SPY,2D,2D,2668,4.104895335543462,102.82698407625936,54.23538230884558
SPY,2D,2U,2239,1.52603461616974,90.71204507068808,53.7293434569004
SPY,2D,3,569,5.822248428979647,102.37736241810526,53.25131810193322
SPY,2U,1,852,8.563706564103317,81.8316191079688,57.863849765258216
SPY,2U,2D,2275,2.290513356111161,91.93482072113558,53.71428571428572
SPY,2U,2U,3796,3.9221542522417066,79.93199896916656,55.821917808219176
SPY,2U,3,771,6.099681491063802,80.92886094283398,57.71725032425421
SPY,3,1,323,6.031564063275608,79.27015806316643,55.417956656346746
SPY,3,2D,617,5.451875145240127,95.73178813549278,56.72609400324149
SPY,3,2U,726,6.770370182311901,78.13222097548511,58.67768595041323
SPY,3,3,82,5.179015764881688,81.23695171954178,60.97560975609756
SPY,X,2D,1,92.90114644093812,,100.0
