ticker,strat_combo,feature,n,pearson,spearman
IWM,11_inside_compression,rsi_9,250,0.048,0.0529
IWM,11_inside_compression,rsi_14,250,0.0262,0.0293
IWM,11_inside_compression,stoch_rsi_k,250,0.0782,0.092
IWM,11_inside_compression,stoch_rsi_d,250,0.0843,0.113
IWM,11_inside_compression,ema_9,250,-0.0718,-0.0645
IWM,11_inside_compression,ema_20,250,-0.0714,-0.0656
IWM,11_inside_compression,ema_50,250,-0.069,-0.0689
IWM,11_inside_compression,sma_50,250,-0.0679,-0.068
IWM,11_inside_compression,sma_200,249,-0.0641,-0.0523
IWM,11_inside_compression,macd,250,-0.0523,0.006
IWM,11_inside_compression,macd_signal,250,-0.0817,-0.0509
IWM,11_inside_compression,macd_histogram,250,0.072,0.0784
IWM,11_inside_compression,atr_14,250,0.0589,0.0482
IWM,11_inside_compression,bb_upper,250,-0.0682,-0.0647
IWM,11_inside_compression,bb_lower,250,-0.0751,-0.07
IWM,11_inside_compression,bb_width,250,0.0528,0.0678
IWM,11_inside_compression,bb_pct,250,0.0234,0.0364
IWM,11_inside_compression,obv,250,-0.1003,-0.0617
IWM,11_inside_compression,rvol,250,0.0147,-0.0585
IWM,11_inside_compression,rvol_10,250,0.0158,-0.0554
IWM,11_inside_compression,vwap,250,-0.0713,-0.0652
IWM,11_inside_compression,price_vs_vwap,250,0.0621,0.0277
IWM,11_inside_compression,price_vs_ema9,250,0.0147,0.066
IWM,11_inside_compression,price_vs_ema20,250,-0.0128,0.0385
IWM,11_inside_compression,consecutive_up,250,0.0102,0.0216
IWM,11_inside_compression,consecutive_down,250,-0.0131,-0.0185
IWM,11_inside_compression,intraday_return,250,0.0233,-0.0291
IWM,11_inside_compression,high_low_spread_pct,250,0.0337,0.026
IWM,11_inside_compression,vix_close,250,0.0984,0.0833
IWM,11_inside_compression,total_gex,250,-0.0222,-0.0515
IWM,11_inside_compression,total_vex,250,0.0691,0.0266
IWM,11_inside_compression,flip_price,81,0.0221,-0.0441
IWM,11_inside_compression,distance_to_king_pct,250,0.0156,0.0299
IWM,11_inside_compression,distance_to_gate_pct,248,-0.0399,-0.0263
IWM,132_bear_continuation,rsi_9,117,-0.0353,-0.0243
IWM,132_bear_continuation,rsi_14,117,-0.0748,-0.0571
IWM,132_bear_continuation,stoch_rsi_k,117,0.0003,-0.034
IWM,132_bear_continuation,stoch_rsi_d,117,0.0001,-0.03
IWM,132_bear_continuation,ema_9,117,-0.2,-0.1677
IWM,132_bear_continuation,ema_20,117,-0.1982,-0.1626
IWM,132_bear_continuation,ema_50,117,-0.19,-0.1541
IWM,132_bear_continuation,sma_50,117,-0.1895,-0.1521
IWM,132_bear_continuation,sma_200,116,-0.1492,-0.115
IWM,132_bear_continuation,macd,117,-0.1381,-0.0704
IWM,132_bear_continuation,macd_signal,117,-0.1671,-0.0746
IWM,132_bear_continuation,macd_histogram,117,0.1101,0.0222
IWM,132_bear_continuation,atr_14,117,0.1057,0.0127
IWM,132_bear_continuation,bb_upper,117,-0.1956,-0.1579
IWM,132_bear_continuation,bb_lower,117,-0.2014,-0.1687
IWM,132_bear_continuation,bb_width,117,0.0198,-0.0791
IWM,132_bear_continuation,bb_pct,117,-0.0038,-0.0319
IWM,132_bear_continuation,obv,117,-0.1765,-0.1923
IWM,132_bear_continuation,rvol,117,-0.1288,-0.1817
IWM,132_bear_continuation,rvol_10,117,-0.113,-0.1925
IWM,132_bear_continuation,vwap,117,-0.1999,-0.1638
IWM,132_bear_continuation,price_vs_vwap,117,-0.1572,-0.0695
IWM,132_bear_continuation,price_vs_ema9,117,-0.1025,-0.0156
IWM,132_bear_continuation,price_vs_ema20,117,-0.1159,-0.0303
IWM,132_bear_continuation,consecutive_up,117,0.0031,0.0042
IWM,132_bear_continuation,consecutive_down,117,-0.0167,-0.0213
IWM,132_bear_continuation,intraday_return,117,-0.0561,0.0125
IWM,132_bear_continuation,high_low_spread_pct,117,0.1646,0.0036
IWM,132_bear_continuation,vix_close,117,0.2958,0.0833
IWM,132_bear_continuation,total_gex,116,-0.0933,-0.0948
IWM,132_bear_continuation,total_vex,116,0.1508,0.0989
IWM,132_bear_continuation,flip_price,34,-0.2573,-0.1673
IWM,132_bear_continuation,distance_to_king_pct,116,-0.1125,-0.0556
IWM,132_bear_continuation,distance_to_gate_pct,115,-0.1194,-0.0746
IWM,132_bull_continuation,rsi_9,148,-0.0548,-0.02
IWM,132_bull_continuation,rsi_14,148,-0.0772,-0.0417
