model,mean_ic,std_ic,mean_rank_ic,mean_auc,mean_ls_sharpe,mean_ls_bps,mean_ls_win
bayes_ridge,0.0267,0.0154,0.0327,0.5153,0.93,4.66,0.5038
elasticnet,0.029,0.0198,0.0335,0.5153,0.5208,2.544,0.4782
lasso,0.029,0.0198,0.0335,0.5153,0.572,2.772,0.4814
lasso_sparse,0.029,0.0195,0.0338,0.5154,0.5854,2.842,0.48
lgbm,0.0151,0.0131,0.0164,0.5048,1.1038,5.316,0.5034
lgbm_shallow,0.0268,0.021,0.0179,0.5054,0.4812,1.946,0.4956
pls10,0.0239,0.0193,0.0292,0.5122,0.9084,4.93,0.4994
pls5,0.0215,0.0095,0.0278,0.5128,0.6756,3.7,0.4862
ridge,0.0296,0.0207,0.0345,0.5158,0.496,2.604,0.4784
ridge_strong,0.0293,0.0199,0.0341,0.5156,0.5426,2.648,0.4758
