ticker,prev_strat_candle,strat_candle,n,mean_bps,std_bps,hit_pct
IWM,1,1,16258,0.1350215655162688,14.76872880002123,49.6863082790011
IWM,1,2D,62579,0.0858050512972144,16.623493833142064,49.92409594272839
IWM,1,2U,63661,-0.0254432234218582,14.968931204295728,49.30648277595388
IWM,1,3,20828,0.0651522180368518,16.98235781110383,49.72632994046476
IWM,2D,1,64023,0.1174238301785793,15.22755853761216,49.70869843649938
IWM,2D,2D,179547,0.2553993151848687,17.449853821410613,50.01253153770322
IWM,2D,2U,112040,0.0615364027989882,17.29257454000746,49.72866833273831
IWM,2D,3,26856,0.1772391714410339,18.735090614902774,49.41540065534704
IWM,2U,1,65027,-0.0711367634026396,15.293132324924176,49.44561489842681
IWM,2U,2D,112039,0.1031024123281562,17.35296600407341,50.15217915190247
IWM,2U,2U,185097,-0.0585951813761134,16.79553184568169,49.35844449126674
IWM,2U,3,27331,-0.0605704893336387,20.766894917087534,49.756686546412496
IWM,3,1,18019,-0.013033929205085,20.15275737977016,49.78633664465287
IWM,3,2D,28300,-0.0232362732132171,17.846183463981763,49.996466431095406
IWM,3,2U,28695,0.1002000237159268,17.405211681030426,49.72991810419934
IWM,3,3,2279,-0.1049171838934814,23.728659585855613,48.793330408073714
IWM,X,2U,1,8.139101660767118,,100.0
QQQ,1,1,16507,0.1573579145959969,14.877362418043743,50.3483370691222
QQQ,1,2D,62957,0.1479017146801837,14.919506185725954,51.09042679924393
QQQ,1,2U,65616,0.0074921630018867,13.795119234508944,50.08686905632772
QQQ,1,3,21754,0.1812138861560297,15.252556082671644,50.92396800588398
QQQ,2D,1,64956,0.1704915566693435,14.178013882019371,51.14231171870189
QQQ,2D,2D,166293,0.266511911264355,15.882429909587312,51.28057104027229
QQQ,2D,2U,110537,0.0606529190625733,15.555968502151012,50.48083447171536
QQQ,2D,3,26670,0.299530248441212,16.90352248621429,51.034870641169846
QQQ,2U,1,67158,0.0230566052241585,14.458153180224434,50.05509395753298
QQQ,2U,2D,110313,0.0868426277600069,15.670570523313254,50.68305639407866
QQQ,2U,2U,179742,-0.0269039397634808,15.363432532441657,50.0172469428403
QQQ,2U,3,27875,0.1230937484277613,15.186502567876843,50.593721973094176
QQQ,3,1,18214,0.0530377044595898,14.4193734235686,50.65883386406062
QQQ,3,2D,28894,0.368212798081651,16.95123742629497,51.57472139544542
QQQ,3,2U,29193,0.0858753195867728,15.673863124358432,50.436748535607855
QQQ,3,3,2546,-0.0981102600424114,17.159377594551074,49.64650432050275
QQQ,X,2D,1,7.32923329717944,,100.0
SPY,1,1,18774,0.1203268228137811,8.989726620391197,50.42079471609673
SPY,1,2D,64853,0.1630877762391149,12.56535164671725,51.28829815120349
SPY,1,2U,67308,0.0180619966398301,10.877264519111652,49.7934866583467
SPY,1,3,22135,0.0509567073634779,11.670406197190598,50.526315789473685
SPY,2D,1,66449,0.1306209600544451,11.539682919380947,51.23478156179927
SPY,2D,2D,165252,0.2855313509716957,13.364337618450191,51.52312831312178
SPY,2D,2U,108131,0.0610359622704878,12.597320204166207,50.60066031017932
SPY,2D,3,26244,0.1393064596201327,14.445373708862736,50.53726566072245
SPY,2U,1,69348,0.0238085439220904,11.315797609464855,50.02884005306569
SPY,2U,2D,107776,0.1269799683618533,12.280748068930556,51.036408847980994
SPY,2U,2U,174669,-0.1254560220665289,12.730778527867864,49.58235290749933
SPY,2U,3,26723,0.0645159639571422,14.365611257649332,50.8176477191932
SPY,3,1,18499,0.1002525502395173,11.323054040321932,50.58111249256717
SPY,3,2D,28195,0.1703564284872431,15.145583980981066,51.7609505231424
SPY,3,2U,28408,-0.0347463798117314,13.384971853851043,50.18304702900591
SPY,3,3,2593,-0.1252764385000711,14.042259967445196,50.25067489394524
SPY,X,2D,1,-5.248109828303954,,0.0
