feature,gain
vix_close,34056796.63763428
price_vs_vwap,29426802.48083496
distance_to_gate_pct,28142296.5690918
rvol,27442628.12353516
distance_to_king_pct,26973868.95050049
macd_signal,26081053.552490234
bb_width,21267010.06201172
rvol_10,21047246.928100582
atr_14,18374143.096740723
macd_histogram,17782639.3203125
stoch_rsi_k,17769977.149291992
obv,15015517.12664795
macd,13535381.416381836
stoch_rsi_d,11306209.295166016
rsi_14,8396037.875366211
bb_upper,8275216.29309082
vwap,7904218.08972168
total_vex,7665102.934570312
price_vs_ema20,7282983.079467773
sma_200,6416369.618408203
total_gex,5760514.758056641
bb_lower,5082902.917480469
bb_pct,4854896.976806641
sma_50,4693760.196777344
rsi_9,4549571.644775391
ema_50,4196107.859619141
price_vs_ema9,4016613.8325195312
high_low_spread_pct,3925354.365722656
ema_9,3874531.799560547
ema_20,3745322.4887695312
dealer_regime_GEX_LOW_VEX_MID,2530613.4174804688
flip_price,2154804.0501708984
intraday_return,1731139.7277832031
dealer_regime_GEX_MID_VEX_HIGH,1178117.208984375
dealer_regime_GEX_LOW_VEX_HIGH,915969.17578125
vex_tercile_HIGH,682864.7299804688
vex_tercile_MID,577927.6791992188
dealer_regime_GEX_HIGH_VEX_HIGH,401238.0712890625
consecutive_up,387429.82653808594
prev_strat_candle_2D,364914.80078125
gex_tercile_LOW,275266.9970703125
gamma_regime_positive_gamma,251603.77099609372
strat_combo_22_bull_reversal,203532.89453125
consecutive_down,195144.87963867188
vex_tercile_LOW,169250.58984375
gex_tercile_MID,152892.97021484375
dealer_regime_GEX_MID_VEX_MID,133403.298828125
strat_combo_22_bull_continuation,116518.3310546875
dealer_regime_GEX_HIGH_VEX_MID,96404.701171875
gex_tercile_HIGH,79285.30078125
