feature,gain
vix_close,381891754.015625
stoch_rsi_d,88531702.5078125
atr_14,77939952.59960938
distance_to_king_pct,74271336.01171875
macd_histogram,74244038.0
macd_signal,71109399.57421875
total_vex,70456210.30664062
bb_width,63671339.486328125
total_gex,62726013.009765625
obv,58850245.19140625
distance_to_gate_pct,57082972.61035156
sma_200,55081640.41015625
bb_lower,49998006.7890625
macd,40181433.19921875
price_vs_vwap,37771340.99707031
vwap,25840631.703125
rsi_14,25605193.99609375
price_vs_ema20,24456864.9140625
stoch_rsi_k,24170590.310546875
gex_tercile_MID,23738456.30273437
ema_20,23029313.609375
sma_50,22901246.306640625
bb_upper,22489020.51171875
high_low_spread_pct,20413959.70898437
bb_pct,18638380.19335937
ema_50,18382211.1015625
ema_9,16808132.30859375
rvol_10,14915323.701171877
flip_price,13043299.298828123
price_vs_ema9,11144813.559570312
rvol,10578240.80078125
vex_tercile_LOW,8991571.6015625
rsi_9,8310803.296875
intraday_return,5843691.90234375
dealer_regime_GEX_LOW_VEX_MID,4407834.5
vex_tercile_MID,4043565.29296875
dealer_regime_GEX_MID_VEX_MID,3103067.703125
consecutive_up,2442608.459960937
dealer_regime_GEX_LOW_VEX_HIGH,2213674.0
dealer_regime_GEX_MID_VEX_LOW,2191037.203125
dealer_regime_GEX_MID_VEX_HIGH,2162418.1015625
gex_tercile_LOW,1617262.0
strat_combo_none,1411272.0
dealer_regime_GEX_HIGH_VEX_LOW,1304688.0
consecutive_down,1280395.89453125
prev_strat_candle_2D,870127.5
dealer_regime_GEX_LOW_VEX_LOW,787917.0
vix_tercile_MID,698027.40234375
strat_candle_2D,604531.0
gamma_regime_negative_gamma,468176.0
