ticker,strat_combo,vex_tercile,n,mean_bps,hit_pct
IWM,111_inside_compression,HIGH,39,-0.4809015154550712,46.15384615384615
IWM,111_inside_compression,LOW,31,-4.761301398969668,51.61290322580645
IWM,111_inside_compression,MID,33,13.154238979739697,66.66666666666666
IWM,11_inside_compression,HIGH,771,0.5438943883636168,52.39948119325552
IWM,11_inside_compression,LOW,600,0.3402012670999734,51.66666666666667
IWM,11_inside_compression,MID,583,0.4211249900641781,49.914236706689536
IWM,132_bear_continuation,HIGH,497,0.3034376361313532,54.32595573440644
IWM,132_bear_continuation,LOW,488,1.6300552988193366,51.84426229508197
IWM,132_bear_continuation,MID,443,0.1240095304761137,50.33860045146727
IWM,132_bull_continuation,HIGH,542,-0.2886545218272644,52.952029520295206
IWM,132_bull_continuation,LOW,494,1.4222705200583357,50.40485829959515
IWM,132_bull_continuation,MID,535,-0.0579361514622048,52.33644859813084
IWM,212_bear_continuation,HIGH,1278,1.391925314980915,52.816901408450704
IWM,212_bear_continuation,LOW,1265,0.2255725834747537,51.30434782608696
IWM,212_bear_continuation,MID,1202,-0.6492678381252207,51.08153078202995
IWM,212_bear_reversal,HIGH,2304,1.3577790334271247,51.90972222222222
IWM,212_bear_reversal,LOW,1917,-1.252969981234206,50.23474178403756
IWM,212_bear_reversal,MID,2024,0.8341365930258249,52.4209486166008
IWM,212_bull_continuation,HIGH,1394,-0.4518667558433297,52.72596843615494
IWM,212_bull_continuation,LOW,1252,-0.2406286749797358,49.04153354632588
IWM,212_bull_continuation,MID,1318,-0.280202289840291,52.35204855842185
IWM,212_bull_reversal,HIGH,2270,-0.4451238940269922,50.792951541850215
IWM,212_bull_reversal,LOW,2004,-0.6049037636116401,51.29740518962076
IWM,212_bull_reversal,MID,2054,1.3822730061751731,53.21324245374879
IWM,22_bear_continuation,HIGH,11130,1.5295552898860016,51.18598382749327
IWM,22_bear_continuation,LOW,11267,0.6602527203555765,51.273630957663975
IWM,22_bear_continuation,MID,11199,-0.0713071991351252,51.37065809447272
IWM,22_bear_continuation,,37,0.8052934987532069,51.35135135135135
IWM,22_bear_reversal,HIGH,7646,0.554682908743211,51.37326706774784
IWM,22_bear_reversal,LOW,7871,0.0772935840732244,51.314953627239234
IWM,22_bear_reversal,MID,7740,0.2437791340104765,51.97674418604651
IWM,22_bear_reversal,,38,0.2312243884352377,50.0
IWM,22_bull_continuation,HIGH,11838,-0.6613462878862075,49.96621050853184
IWM,22_bull_continuation,LOW,11939,-0.1444268438270137,50.18845799480693
IWM,22_bull_continuation,MID,12234,0.6674172784019855,51.95357201242439
IWM,22_bull_continuation,,48,0.1633734595529842,56.25
IWM,22_bull_reversal,HIGH,7648,0.256628514183938,50.95449790794979
IWM,22_bull_reversal,LOW,7822,-0.0954627519175171,50.62643825108668
IWM,22_bull_reversal,MID,7745,0.403125459016202,51.581665590703686
IWM,22_bull_reversal,,31,-13.13827792878333,32.25806451612903
IWM,312_bear_reversal,HIGH,425,1.241523443204421,54.352941176470594
IWM,312_bear_reversal,LOW,422,0.7554612824497648,50.4739336492891
IWM,312_bear_reversal,MID,517,-0.354460356310333,50.29013539651837
IWM,312_bull_reversal,HIGH,626,0.3191357209019381,51.91693290734825
IWM,312_bull_reversal,LOW,624,1.312568922493413,51.76282051282052
IWM,312_bull_reversal,MID,666,3.3864375360171404,53.15315315315316
IWM,322_bear_continuation,HIGH,948,1.1730638760227214,51.16033755274262
IWM,322_bear_continuation,LOW,1043,1.9055083059529687,54.266538830297215
IWM,322_bear_continuation,MID,1027,0.2513358189371199,51.11976630963972
IWM,322_bull_continuation,HIGH,1023,-1.7678859164291076,49.95112414467253
IWM,322_bull_continuation,LOW,1061,2.617999306824337,52.780395852968894
IWM,322_bull_continuation,MID,1121,0.4414690840278601,51.65031222123104
IWM,32_bear_reversal,HIGH,253,3.091410484594003,55.33596837944664
IWM,32_bear_reversal,LOW,264,1.320794925212346,52.27272727272727
IWM,32_bear_reversal,MID,281,1.347755609239741,53.02491103202846
IWM,32_bull_reversal,HIGH,314,-6.775396485337831,48.08917197452229
IWM,32_bull_reversal,LOW,286,-3.812043251273021,44.40559440559441
IWM,32_bull_reversal,MID,305,-1.1151106196930989,51.80327868852459
IWM,clean_2d_bear,HIGH,1190,0.6801027588437668,50.50420168067227
IWM,clean_2d_bear,LOW,1250,1.997674171474882,53.28000000000001
IWM,clean_2d_bear,MID,1215,4.454430252464356,53.90946502057613
IWM,clean_2u_bull,HIGH,1183,0.7082858541738244,51.05663567202029
IWM,clean_2u_bull,LOW,1216,-0.5415166697370137,51.06907894736842
IWM,clean_2u_bull,MID,1236,-0.8401830892199704,48.381877022653725
IWM,f2d_bull_reversal,HIGH,446,-2.3722721907934328,50.89686098654709
IWM,f2d_bull_reversal,LOW,501,-0.536504646966175,49.700598802395206
IWM,f2d_bull_reversal,MID,554,1.2079199245408685,55.5956678700361
IWM,f2u_bear_reversal,HIGH,441,-0.3129042728542544,49.88662131519274
